Most ^ql+emph+++=Most
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
80 ^cd++++=80%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
amphibian ^nn+++??+=amphibian
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
( ^zz++++=(RossaFeres
rossaferes ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
somewhat ^rb+down+splt++=somewhat
expected ^vpsv++agls+xvbnx+=expected,
, ^zz++++=EXTRAWORD
as ^ql++++=as
that ^cs+sub+++=that
biome ^nn+++??+=biome
has ^vbz+hvz+vrb++=has
a ^at++++=a
high ^jj+atrb+++=high
degree ^nn++++=degree
of ^in++++=of
endemism ^nn+++??+=endemism
for ^in++++=for
amphibians ^nns++++=amphibians
( ^zz++++=(Haddad
haddad ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
By ^in++++=By
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
reptilian ^jj+atrb+++=reptilian
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
also ^rb++++=also
typical ^jj+pred+++=typical
for ^in++++=for
this ^dt+dem+++=this
group ^nn++++=group
( ^zz++++=(Tozetti
tozetti ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
of ^in++++=of
the ^ati++++=the
amphibians ^nns++++=amphibians
are ^vb+ber+aux++=are
also ^rb++splt++=also
