Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
those ^dt+dem+++=those
numbers ^nns++++=numbers,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
to ^to++++=to
go ^vbi++++=go
to ^to++++=to
reach ^vbi++++=reach
good ^jj+atrb+++=good
values ^nns++++=values
of ^in++++=of
data ^nns++++=data
available ^jj++++=available.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
side ^nn++++=side
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Universities ^nns++++=Universities
can ^md+pos+++=can
increase ^vb++++=increase
their ^pp$+pp3+++=their
positions ^nns++++=positions
in ^in++++=in
this ^dt+dem+++=this
ranking ^jj+++xvbg+=ranking
just ^rb+emph+++=just
by ^in++++=by
reporting ^jj+atrb+++=reporting
data ^nns++++=data
more ^rbr++++=more
frequently ^rb++++=frequently
and ^cc+phrs+++=and
accurately ^rb++++=accurately.
. ^zz++++=EXTRAWORD
