Medeiros ^np+++??+=Medeiros
Junior ^jj++++=Junior
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
considers ^vbz+vprv+++=considers
Rocha ^np+++??+=Rocha
( ^zz++++=(1990)
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
correct ^jj+pred+++=correct
in ^in++++=in
her ^pp$+pp3+++=her
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
insert ^vbi++++=insert
a ^at++++=a
Dp ^np+++??+=DP
as ^in++++=as
the ^ati++++=the
antecedent ^nn++++=antecedent
of ^in++++=of
quem ^nn+++??+=quem
in ^in++++=in
sentences ^nns++++=sentences
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^in++++=as
seen ^nn++++=seen
in ^in++++=in
( ^zz++++=(27):
27 ^cd++++=EXTRAWORD
): ^nn++++=EXTRAWORD
