By ^in++++=By
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adoption ^nn++++=adoption
by ^in++++=by
most ^ql+emph+++=most
public ^jj+atrb+++=public
Heis ^np+++??+=HEIs
of ^in++++=of
the ^ati++++=the
Enem ^np+++??+=ENEM
as ^ql++++=as
their ^pp$+pp3+++=their
admission ^nn++++=admission
criterion ^np++++=criterion
had ^vb+hv+aux++=had
greatly ^rb+amp+splt++=greatly
increased ^vprf+++xvbnx+=increased
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
admissible ^jj+atrb+++=admissible
applicants ^nns++++=applicants
to ^in++++=to
higher ^jjr+atrb+++=higher
education ^nn++++=education
( ^zz++++=(Ministry
ministry ^nn++++=EXTRAWORD
of ^in++++=of
Education ^nn++++=Education
of ^in++++=of
Brazil ^np++++=Brazil
2018a ^cd++++=2018a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
ensure ^vbi+vprv+++=ensure
greater ^jjr+atrb+++=greater
access ^nn++++=access
and ^cc++++=and
standardize ^vb++++=standardize
the ^ati++++=the
university ^nn++++=university
admission ^nn++++=admission
process ^nn++++=process,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn++++=Education
developed ^vbd+++xvbn+=developed
a ^at++++=a
platform ^nn++++=platform
called ^vbd+++xvbn+=called
the ^ati++++=the
Unified ^jj+atrb++xvbn+=Unified
Selection ^nn++++=Selection
System ^nn++++=System
( ^zz++++=(SISU)
sisu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Ministry
ministry ^nn++++=EXTRAWORD
of ^in++++=of
Education ^nn++++=Education
of ^in++++=of
Brazil ^np++++=Brazil
2020a ^cd++++=2020a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
applied ^jj+++xvbn+=applied
a ^at++++=a
unified ^jj+atrb++xvbn+=unified
application ^nn++++=application
criteria ^nns++++=criteria
to ^in++++=to
all ^abn++++=all
public ^jj+atrb+++=public
Heis ^np+++??+=HEIs
and ^cc++++=and
expanded ^vbd+++xvbn+=expanded
the ^ati++++=the
guarantee ^nn++++=guarantee
of ^in++++=of
equal ^jj+atrb+++=equal
opportunity ^nn++++=opportunity
to ^to+ncmp+++=to
the ^ati++++=the
national ^jj+atrb+++=national
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
Sisu ^np+++??+=SISU,
, ^zz++++=EXTRAWORD
candidates ^nns++++=candidates
can ^md+pos+++=can
apply ^vb++++=apply
to ^in++++=to
a ^at++++=a
public ^nn++++=public
or ^cc++++=or
a ^at++++=a
private ^jj+atrb+++=private
Hei ^np+++??+=HEI,
, ^zz++++=EXTRAWORD
simultaneously ^rb+tm+++=simultaneously
applying ^jj+++xvbg+=applying
for ^in++++=for
funding ^nn+++??+=funding
through ^in++++=through
Prouni ^np+++??+=ProUni
and ^cc++++=and
Fies ^np+++??+=FIES
for ^in++++=for
the ^ati++++=the
latter ^ap++++=latter.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
2009 ^cd++++=2009
and ^cc++++=and
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
Sisu ^np+++??+=SISU,
, ^zz++++=EXTRAWORD
Fies ^np+++??+=FIES
and ^cc++++=and
Prouni ^np+++??+=ProUni
raised ^vbd+++xvbn+=raised
enrolments ^nns+++??+=enrolments
to ^in++++=to
public ^nn++++=public
and ^cc++++=and
private ^jj+atrb+++=private
heis ^np++++=HEIs
by ^in++++=by
approximately ^rb+down+++=approximately
two ^cd++++=two
million ^cd++++=million.
. ^zz++++=EXTRAWORD
