The ^ati++++=The
publication ^nn++++=publication
language ^nn++++=language
is ^vbz+bez+vrb++=is
an ^at++++=an
essential ^nn++++=essential
means ^nns++++=means
of ^in++++=of
communication ^nn++++=communication
owing ^in+cmpx+++=owing
to ^in"++++=to
of ^in++++=of
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
the ^ati++++=the
international ^jj+atrb+++=international
audience ^nn++++=audience
that ^tht+rel+obj++=that
it ^pp3+it+++=it
encompasses ^vbz++++=encompasses
for ^in++++=for
research ^nn++++=research
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
directly ^rb++++=directly
affects ^vbz++++=affects
the ^ati++++=the
linguistic ^jj+atrb+++=linguistic
accessibility ^nn++++=accessibility
and ^cc++++=and
geographical ^jj+atrb+++=geographical
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
question ^nn++++=question
under ^in++++=under
study ^nn++++=study.
. ^zz++++=EXTRAWORD
English ^jj++++=English
is ^vbz+bez+vrb++=is
the ^ati++++=the
lingua ^nn+++??+=lingua
franca ^np++++=franca
of ^in++++=of
science ^nn++++=science
and ^cc++++=and
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
most ^ql+emph+++=most
educated ^jj+atrb++xvbn+=educated
people ^nns++++=people
can ^md+pos+++=can
understand ^vb+vprv+tht0++=understand
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
benefit ^nn++++=benefit
[ ^zz++++=[1].
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
a ^at++++=a
significant ^jj+atrb+++=significant
part ^nn++++=part
of ^in++++=of
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
research ^nn++++=research
is ^vbz+bez+aux++=is
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
national ^jj+atrb+++=national
languages ^nns++++=languages
and ^cc++++=and
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
often ^rb++splt++=often
mentioned ^vpsv++agls+xvbnx+=mentioned
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
reasons ^nns++++=reasons
for ^in++++=for
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
visibility ^nn++++=visibility
of ^in++++=of
its ^pp$+it+++=its
scientific ^jj+atrb+++=scientific
output ^nn++++=output
[ ^zz++++=[2-3].
2 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Added ^j+++xvbn+=Added
to ^in++++=to
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
some ^dti++++=some
disciplines ^nns++++=disciplines
are ^vb+ber+vrb++=are
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
their ^pp$+pp3+++=their
centrality ^nn+++??+=centrality
on ^in++++=on
research ^nn++++=research
of ^in++++=of
local ^jj+atrb+++=local
significance ^nn++++=significance.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
reflected ^vpsv++agls+xvbnx+=reflected
in ^in++++=in
the ^ati++++=the
following ^nvbg+++xvbg+=following:
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
the ^ati++++=the
large ^jj+atrb+++=large
amount ^nn++++=amount
of ^in++++=of
scientific ^jj+atrb+++=scientific
output ^nn++++=output
devoted ^vbd+++xvbn+=devoted
to ^in++++=to
issues ^nns++++=issues
of ^in++++=of
national ^jj+atrb+++=national
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
b ^zz++++=b)
) ^zz++++=EXTRAWORD
a ^at++++=a
low ^jj+atrb+++=low
proportion ^nn++++=proportion
of ^in++++=of
articles ^nns++++=articles
written ^vbd+++xvbn+=written
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
c ^zz++++=c)
) ^zz++++=EXTRAWORD
articles ^nns++++=articles
of ^in++++=of
predominantly ^rb++++=predominantly
national ^jj+atrb+++=national
authorship ^nn++++=authorship,
, ^zz++++=EXTRAWORD
d ^zz++++=d)
) ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
levels ^nns++++=levels
of ^in++++=of
international ^jj+atrb+++=international
collaboration ^nn++++=collaboration
and ^cc++++=and
e ^zz++++=e)
) ^zz++++=EXTRAWORD
publications ^nns++++=publications
that ^tht+rel+subj++=that
tend ^vb++++=tend
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
national ^jj+atrb+++=national
journals ^nns++++=journals
with ^in++++=with
a ^at++++=a
limited ^jj+atrb+++=limited
circulation ^nn++++=circulation
[ ^zz++++=[4-7].
4 ^zz++++=EXTRAWORD
-7]. ^nn++++=EXTRAWORD
