Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
a ^at++++=a
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
depreciation ^nn++++=depreciation
of ^in++++=of
the ^ati++++=the
national ^jj+atrb+++=national
currency ^nn++++=currency
and ^cc++++=and
femicide ^nn+++??+=femicide?
? ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
starting ^xvbg+++xvbg+=starting
to ^to++++=to
search ^vbi++++=search
for ^in++++=for
the ^ati++++=the
answer ^nn++++=answer
to ^in++++=to
this ^dt+dem+++=this
question ^nn++++=question,
, ^zz++++=EXTRAWORD
firstly ^rb++++=firstly
the ^ati++++=the
series ^nn++++=series's
's ^$++++=EXTRAWORD
linearity ^nn+++??+=linearity
tests ^nns++++=tests
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
using ^jj+++xvbg+=using
Harvey ^np++++=Harvey
& ^zz++++=&
Leybourne ^np+++??+=Leybourne
( ^zz++++=(2007)38
2007)38 ^cd++++=EXTRAWORD
and ^cc++++=and
Harvey ^np++++=Harvey,
, ^zz++++=EXTRAWORD
Leybourne ^np+++??+=Leybourne
& ^zz++++=&
Xiao ^np+++??+=Xiao
( ^zz++++=(2008)39
2008)39 ^cd++++=EXTRAWORD
Tests ^nns++++=Tests.
 ^zz++++=EXTRAWORD
Next ^ap++++=Next,
 ^zz++++=EXTRAWORD
The ^ati++++=the
Stationary ^jj+atrb+++=stationary
Tests ^nns++++=tests
Were ^vbd+bed+aux++=were
Performed ^vpsv++agls+xvbn+=performed.
 ^zz++++=EXTRAWORD
