This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
questionable ^jj+atrb+++=questionable
form ^nn++++=form
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
general ^jj+atrb+++=general
classification ^nn++++=classification,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
whole ^jj+atrb+++=whole
performances ^nns++++=performances
in ^in++++=in
all ^abn++++=all
Indicators ^nns++++=Indicators.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
also ^rb++++=also
the ^ati++++=the
problem ^nn++++=problem
of ^in++++=of
giving ^xvbg+++xvbg+=giving
different ^jj+atrb+++=different
weights ^nns++++=weights
for ^in++++=for
each ^dt++++=each
Dimension ^nn++++=Dimension,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Dimensions ^nns++++=Dimensions
with ^in++++=with
more ^ql++++=more
Indicators ^nns++++=Indicators
will ^md+prd+++=will
dominate ^vb++++=dominate
the ^ati++++=the
global ^jj+atrb+++=global
evaluation ^nn++++=evaluation.
. ^zz++++=EXTRAWORD
A ^at++++=A
good ^jj+atrb+++=good
example ^nn++++=example
for ^in++++=for
debate ^nn++++=debate
is ^vbz+bez+vrb++=is
the ^ati++++=the
second ^od++++=second
and ^cc++++=and
third ^od++++=third
place ^nn++++=place
of ^in++++=of
this ^dt+dem+++=this
list ^nn++++=list.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
the ^ati++++=the
criterions ^nn++++=criterions
defined ^vwbn+vprv++xvbn+=defined
by ^in++++=by
Umultirank ^np+++??+=UMultirank
, ^zz++++=,
Federal ^jj+atrb+++=Federal
University ^nn++++=University
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Carlos ^np++++=Carlos
is ^vbz+bez+vrb++=is
in ^in++++=in
second ^od++++=second
place ^nn++++=place,
, ^zz++++=EXTRAWORD
with ^in++++=with
3 ^zz++++=3
A ^at++++=A,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
B ^zz++++=B
and ^cc++++=and
6 ^zz++++=6
D ^zz++++=D
grades ^nns++++=grades.
. ^zz++++=EXTRAWORD
University ^npl++++=University
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
is ^vbz+bez+vrb++=is
in ^in++++=in
third ^nn++++=third
place ^nn++++=place,
, ^zz++++=EXTRAWORD
with ^in++++=with
3 ^zz++++=3
A ^at++++=A,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
B ^zz++++=B,
, ^zz++++=EXTRAWORD
3 ^zz++++=3
C ^zz++++=C
and ^cc++++=and
5 ^zz++++=5
D ^zz++++=D.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
make ^vb++++=make
a ^at++++=a
table ^nn++++=table
points ^nns++++=points
, ^zz++++=,
assuming ^vbg+vprv++xvbg+=assuming
a ^at++++=a
correspondence ^nn++++=correspondence
like ^in++++=like
A ^at++++=A
= ^zz++++==
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
B ^zz++++=B
= ^zz++++==
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
C ^zz++++=C
= ^zz++++==
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
D ^zz++++=D
= ^zz++++==
2 ^zz++++=2
and ^cc++++=and
E ^zz++++=E
= ^zz++++==
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
University ^npl++++=University
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Carlos ^np++++=Carlos
would ^md+prd+++=would
have ^vb+hv+vrb++=have
35 ^cd++++=35
points ^nns++++=points
in ^in++++=in
total ^nn++++=total,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
University ^npl++++=University
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
would ^md+prd+++=would
have ^vb+hv+vrb++=have
38 ^cd++++=38
points ^nns++++=points,
, ^zz++++=EXTRAWORD
a ^at++++=a
better ^jjr+atrb+++=better
general ^jj+atrb+++=general
performances ^nns++++=performances.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
positions ^nns++++=positions
in ^in++++=in
the ^ati++++=the
ranking ^jj+++xvbg+=ranking
would ^md+prd+++=would
be ^vb+be+aux++=be
inverted ^vpsv++agls+xvbnx+=inverted
and ^cc++++=and
University ^nn++++=University
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
second ^od++++=second
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
potential ^jj+pred+++=potential
for ^in++++=for
much ^ap++++=much
more ^ql++++=more
problems ^nns++++=problems
of ^in++++=of
this ^dt+dem+++=this
type ^nn++++=type.
. ^zz++++=EXTRAWORD
