This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
study ^vb++++=study
that ^dt+dem+++=that
analyzed ^nn+++??+=analyzed
the ^ati++++=the
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
spatial ^jj+atrb+++=spatial
clusters ^nns++++=clusters
of ^in++++=of
femicide ^nn+++??+=femicide
in ^in++++=in
a ^at++++=a
geographic ^nn+++??+=geographic
space ^nn++++=space
where ^wrb+who+++=where
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
predominance ^nn+++??+=predominance
of ^in++++=of
patriarchal ^jj+atrb+++=patriarchal
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
public ^jj+atrb+++=public
policies ^nns++++=policies
to ^to++++=to
combat ^vbi++++=combat
femicide ^nn+++??+=femicide
have ^vb+hv+aux++=have
already ^rb++splt++=already
completed ^vprf+++xvbnx+=completed
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
decade ^nn++++=decade
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
shows ^vbz+vprv+++=shows
a ^at++++=a
very ^ql+amp+++=very
uneven ^jj+atrb+++=uneven
distribution ^nn++++=distribution
of ^in++++=of
rates ^nns++++=rates
of ^in++++=of
femicide ^nn+++??+=femicide
that ^tht+rel+++=that
showed ^jj+++xvbn+=showed
a ^at++++=a
direct ^jj+atrb+++=direct
association ^nn++++=association
with ^in++++=with
human ^jj+atrb+++=human
development ^nn++++=development
and ^cc++++=and
matriarchy ^nn+++??+=matriarchy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
inverse ^jj+atrb+++=inverse
association ^nn++++=association
with ^in++++=with
concentration ^nn++++=concentration
of ^in++++=of
income ^nn++++=income.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
reinforce ^vb++++=reinforce
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
of ^in++++=of
violence ^nn++++=violence
against ^in++++=against
women ^nns++++=women
as ^in++++=as
a ^at++++=a
multifactorial ^nn+++??+=multifactorial
phenomenon ^nn++++=phenomenon,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
from ^in++++=from
the ^ati++++=the
interaction ^nn++++=interaction
of ^in++++=of
individual ^nn++++=individual,
, ^zz++++=EXTRAWORD
relational ^nn+++??+=relational,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
Making ^vbg+++xvbg+=Making
it ^pp3+it+++=it
imperative ^jj++++=imperative
to ^to++++=to
carry ^vbi++++=carry
out ^rp+pl+++=out
further ^jjb+atrb+++=further
studies ^nns++++=studies
to ^in++++=to
unravel ^nn+++??+=unravel
the ^ati++++=the
possible ^jj+atrb+++=possible
factors ^nns++++=factors
that ^tht+rel+obj++=that
predispose ^nn+++??+=predispose
as ^ql++++=as
high ^np++++=high
rates ^nns++++=rates
of ^in++++=of
femicides ^nns+++??+=femicides
in ^in++++=in
in ^in++++=in
the ^ati++++=the
municipalities ^nns+++??+=municipalities
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Sergipe ^np+++??+=Sergipe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
suggested ^vpsv++agls+xvbnx+=suggested
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
local ^jj+atrb+++=local
redirection ^nn+++??+=redirection
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
public ^nn++++=public
policies ^nns++++=policies
to ^to++++=to
combat ^vbi++++=combat
femicide ^nn+++??+=femicide,
, ^zz++++=EXTRAWORD
since ^rb++++=since
feminicide ^nn+++??+=feminicide
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
roots ^nns++++=roots
in ^in++++=in
gender ^nn++++=gender
inequality ^nn++++=inequality,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
different ^jj+atrb+++=different
contexts ^nns++++=contexts
that ^tht+rel+subj++=that
obey ^vb++++=obey
social ^jj+atrb+++=social
dynamics ^nn++++=dynamics
and ^cc++++=and
peculiarities ^nns++++=peculiarities
to ^in++++=to
the ^ati++++=the
geographical ^jj+atrb+++=geographical
context ^nn++++=context
of ^in++++=of
its ^pp$+it+++=its
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
