One ^cd1++++=One
important ^jj+atrb+++=important
question ^nn++++=question
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
yet ^rb++++=yet
to ^to++++=to
be ^vbi+vbi+aux++=be
answered ^vpsv++agls+xvbnx+=answered
regards ^in++++=regards
the ^ati++++=the
original ^jj+atrb+++=original
occurrence ^nn++++=occurrence
of ^in++++=of
the ^ati++++=the
tortoise ^nn+++??+=tortoise
Chelonoidis ^np+++??+=Chelonoidis
carbonarius ^nns+++??+=carbonarius
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
described ^vpsv++by+xvbnx+=described
by ^in++++=by
Spix ^np+++??+=Spix
( ^zz++++=(1824)
1824 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
specimens ^nns++++=specimens
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
the ^ati++++=the
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
Amazon ^np+++??+=Amazon
River ^nn++++=River.
. ^zz++++=EXTRAWORD
Pritchard ^np++++=Pritchard
and ^cc++++=and
Trebbau ^np+++??+=Trebbau
( ^zz++++=(1984),
1984 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Vanzolini ^np+++??+=Vanzolini
( ^zz++++=(1994),
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ernst ^np+++??+=Ernst
and ^cc++++=and
Leuteritz ^np+++??+=Leuteritz
( ^zz++++=(1999)
1999 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Vargas ^np+++??+=Vargas-Ram
- ^zz++++=EXTRAWORD
ram ^vb++++=EXTRAWORD
rez ^nn+++??+=rez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
described ^vbd+++xvbn+=described
the ^ati++++=the
geographic ^nn+++??+=geographic
distribution ^nn++++=distribution
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
indicated ^j+++xvbn+=indicated
its ^pp$+it+++=its
absence ^nn++++=absence
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
a ^at++++=a
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
the ^ati++++=the
presence ^nn++++=presence
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rocha ^np+++??+=Rocha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
K ^zz++++=K
hler ^nn+++??+=hler
2008 ^cd++++=2008)
) ^zz++++=EXTRAWORD
or ^cc++++=or
possible ^jj+atrb+++=possible
occurrence ^nn++++=occurrence
( ^zz++++=(Tozetti
tozetti ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
carbonarius ^nns+++??+=carbonarius
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
establish ^vbi+vprv+++=establish
whether ^cs+who+++=whether
this ^dt+dem+++=this
region ^nn++++=region
was ^vbd+bedz+vrb++=was
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
original ^jj+atrb+++=original
distribution ^nn++++=distribution
of ^in++++=of
the ^ati++++=the
species ^nn++++=species,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
its ^pp$+it+++=its
occurrence ^nn++++=occurrence
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
( ^zz++++=(if
if ^cs+cnd+++=EXTRAWORD
confirmed ^vbd+vpub++xvbn+=confirmed)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
deliberate ^jj+atrb+++=deliberate
release ^nn++++=release
into ^in++++=into
the ^ati++++=the
wild ^nn++++=wild
of ^in++++=of
animals ^nns++++=animals
raised ^vpsv++agls+xvbn+=raised
as ^ql++++=as
pets ^nns++++=pets
or ^cc++++=or
for ^in++++=for
food ^nn++++=food.
. ^zz++++=EXTRAWORD
