Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
in ^in++++=in
February ^nr++++=February,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
urgent ^vb++++=urgent
to ^to+vcmp+++=to
draw ^vbi++++=draw
up ^rb+phrv+++=up
contingency ^nn++++=contingency
plans ^nns++++=plans
to ^to+ncmp+++=to
assist ^vbi++++=assist
the ^ati++++=the
respective ^jj+atrb+++=respective
governments ^nns++++=governments
in ^in++++=in
tackling ^xvbg+++xvbg+=tackling
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
Unified ^jj+atrb++xvbn+=Unified
Health ^nn++++=Health
System ^nn++++=System
( ^zz++++=(SUS
sus ^nns+++??+=EXTRAWORD
in ^in++++=in
Portuguese),(9 ^np+++??+=Portuguese),(9)
) ^zz++++=EXTRAWORD
a ^at++++=a
publicly ^rb++++=publicly
funded ^jj+atrb++??+=funded
national ^jj+atrb+++=national
security ^nn++++=security
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^np++++=Health's
's ^$++++=EXTRAWORD
actions ^nns++++=actions,
, ^zz++++=EXTRAWORD
aimed ^j+++xvbn+=aimed
at ^rb++++=at
mitigating ^vbg+++xvbg+=mitigating
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
ranged ^j+++xvbn+=ranged
from ^in++++=from
epidemiological ^nn+++??+=epidemiological
surveillance ^nn++++=surveillance
to ^in++++=to
highly ^rb+amp+++=highly
complex ^jj+atrb+++=complex
assistance ^nn++++=assistance,
, ^zz++++=EXTRAWORD
with ^in++++=with
activities ^nns++++=activities
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
the ^ati++++=the
imminent ^jj+atrb+++=imminent
arrival ^nn++++=arrival
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil
to ^in++++=to
the ^ati++++=the
current ^jj+atrb+++=current
scenario ^nn++++=scenario
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
easing ^nn++++=easing
of ^in++++=of
restrictive ^jj+atrb+++=restrictive
measures ^nns++++=measures
and ^cc++++=and
social ^jj+atrb+++=social
isolation ^nn++++=isolation.
. ^zz++++=EXTRAWORD
( ^zz++++=(10,11)
10,11 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
