Plants ^nns++++=Plants
yellowish ^jj++++=yellowish
to ^in++++=to
golden ^jj++++=golden,
, ^zz++++=EXTRAWORD
leaves ^vbz++++=leaves
crowded ^vbd+++xvbn+=crowded,
, ^zz++++=EXTRAWORD
oblong ^jj++++=oblong-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+++??+=EXTRAWORD
to ^in++++=to
lingulate ^nn+++??+=lingulate,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
short ^jj++++=short-acuminate
- ^zz++++=EXTRAWORD
acuminate ^nn+++??+=EXTRAWORD
to ^in++++=to
apiculate ^nn+++??+=apiculate,
, ^zz++++=EXTRAWORD
crenulate ^nn+++??+=crenulate
margin ^nn++++=margin;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
basal ^jj+atrb+++=basal
cells ^nns++++=cells
reddish ^jj++++=reddish-yellow;
- ^zz++++=EXTRAWORD
yellow ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
percurrent ^nn+++??+=percurrent.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+vrb++=was
frequent ^jj+pred+++=frequent
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
s ^zz++++=s
high ^jj+atrb+++=high
elevation ^nn++++=elevation
grasslands ^nns++++=grasslands.
. ^zz++++=EXTRAWORD
Rupicolous ^np+++??+=Rupicolous
and ^cc++++=and
terricolous ^nns+++??+=terricolous
in ^in++++=in
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest,
, ^zz++++=EXTRAWORD
recorded ^j+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Es ^&fw++++=ES,
, ^zz++++=EXTRAWORD
Mg ^nnu++++=MG,
, ^zz++++=EXTRAWORD
rj ^np++++=RJ,
, ^zz++++=EXTRAWORD
sp ^&fo++++=SP
and ^cc++++=and
sc ^np++++=SC;
; ^zz++++=EXTRAWORD
brazilian ^jj++++=Brazilian
endemic ^jj++++=endemic.
. ^zz++++=EXTRAWORD
