Since ^cs+sub+++=Since
hospitalizations ^nns++++=hospitalizations
are ^vb+ber+vrb++=are
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
acute ^jj+atrb+++=acute
illness ^nn++++=illness
or ^cc++++=or
worsening ^nn+++??+=worsening
of ^in++++=of
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
effect ^nn++++=effect
can ^md+pos+++=can
be ^vb+be+vrb++=be
rapid ^jj+pred+++=rapid,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
choose ^vb++++=choose
not ^xnot++not++=not
to ^to++++=to
use ^vbi++++=use
time ^nn++++=time
lag ^nn++++=lag
between ^in++++=between
policy ^nn++++=policy
change ^nn++++=change
and ^cc++++=and
observation ^nn++++=observation
of ^in++++=of
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
highlight ^nn++++=highlight
the ^ati++++=the
results ^nns++++=results
with ^in++++=with
statistical ^jj+atrb+++=statistical
significance ^nn++++=significance
at ^in++++=at
a ^at++++=a
level ^nn++++=level
of ^in++++=of
5 ^zz++++=5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
logarithmic ^jj+atrb+++=logarithmic
trend ^nn++++=trend
terms ^nns++++=terms
to ^to++++=to
assess ^vbi++++=assess
possible ^jj++++=possible
non ^&fw++++=non-linear
- ^zz++++=EXTRAWORD
linear ^jj+atrb+++=EXTRAWORD
trends ^nns++++=trends
obtained ^vwbn+++xvbn+=obtained
by ^in++++=by
the ^ati++++=the
Prais ^np+++??+=Prais
model ^nn++++=model.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
results ^nns++++=results,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
Bic ^np+++??+=BIC
and ^cc++++=and
Aic ^np+++??+=AIC
aptitude ^nn++++=aptitude
criteria ^nns++++=criteria
for ^in++++=for
the ^ati++++=the
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
test ^nn++++=test
the ^ati++++=the
suitability ^nn++++=suitability
of ^in++++=of
each ^dt++++=each
model ^nn++++=model
for ^in++++=for
residual ^jj+atrb+++=residual
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
To ^to++++=To
detect ^vbi++++=detect
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
autocorrelation ^nn+++??+=autocorrelation
in ^in++++=in
the ^ati++++=the
residue ^nn++++=residue
lag ^nn++++=lag
( ^zz++++=(forecast
forecast ^vbd+++xvbn+=EXTRAWORD
errors ^nns++++=errors),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
Durbin ^np+++??+=Durbin-Watson
- ^zz++++=EXTRAWORD
watson ^np++++=EXTRAWORD
statistic ^nn++++=statistic.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
performed ^vbd+++xvbn+=performed
the ^ati++++=the
analyzes ^nns++++=analyzes
in ^in++++=in
the ^ati++++=the
r ^zz++++=R
program ^nn++++=program,
, ^zz++++=EXTRAWORD
version ^nn++++=version
3.6.1 ^cd++++=3.6.1.
. ^zz++++=EXTRAWORD
