Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
investigate ^vbi++++=investigate
relationships ^nns++++=relationships
between ^in++++=between
latent ^jj+atrb+++=latent
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
chose ^vbd+++xvbn+=chose
the ^ati++++=the
technique ^nn++++=technique
Partial ^jj++++=Partial
Least ^ql++++=Least
Squares ^nns++++=Squares
Structural ^jj+atrb+++=Structural
Equation ^nn++++=Equation
Modeling ^np+++??+=Modeling
( ^zz++++=(PLS-SEM).
pls ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
sem ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
variables ^nns++++=variables
related ^vbd+++xvbn+=related
to ^to++++=to
manifest ^vbi++++=manifest
variables ^nns++++=variables
are ^vb+ber+vrb++=are
qualitative ^jj+pred+++=qualitative,
, ^zz++++=EXTRAWORD
assuming ^vbg+vprv++xvbg+=assuming
dichotomous ^nns+++??+=dichotomous
values ^nns++++=values,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
technique ^nn++++=technique
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
appropriate ^jj++++=appropriate
for ^in++++=for
measuring ^xvbg+++xvbg+=measuring
constructs ^vbz++++=constructs
under ^in++++=under
this ^dt+dem+++=this
condition ^nn++++=condition
( ^zz++++=(Hair
hair ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
initially ^rb+tm+++=initially
conducted ^vbd+++xvbn+=conducted
the ^ati++++=the
Multiple ^jj+atrb+++=Multiple
Correspondence ^nn++++=Correspondence
Analysis ^nn++++=Analysis
( ^zz++++=(MCA)
mca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
underlying ^jj+atrb+++=underlying
governance ^nn++++=governance
structure ^nn++++=structure
in ^in++++=in
npo ^np++++=NPO.
. ^zz++++=EXTRAWORD
