Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assumed ^vbd+vprv++xvbn+=assumed
that ^tht+vcmp+++=that
more ^rbr++++=more
governance ^nn+++??+=governance
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hansan ^np+++??+=Hansan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
governance ^nn+++??+=governance
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
as ^in++++=as
part ^nn++++=part
of ^in++++=of
Npo ^np+++??+=NPO
responsibility ^nn++++=responsibility,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommend ^vb+vsua+++=recommend
that ^tht+vcmp+++=that
decisions ^nns++++=decisions
on ^in++++=on
governance ^nn+++??+=governance
in ^in++++=in
Npo ^np+++??+=NPO
undergo ^vb++++=undergo
an ^at++++=an
opportunity ^nn++++=opportunity
cost ^nn++++=cost
analysis ^nn++++=analysis;
; ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
benefit ^nn++++=benefit,
, ^zz++++=EXTRAWORD
activities ^nns++++=activities
related ^vbd+++xvbn+=related
to ^in++++=to
governance ^nn+++??+=governance
( ^zz++++=(for
for ^in++++=EXTRAWORD
example ^nn++++=example,
, ^zz++++=EXTRAWORD
audit ^nn+++??+=audit
procedures ^nns++++=procedures)
) ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
diverting ^vbg+++xvbg+=diverting
resources ^nns++++=resources
from ^in++++=from
npo ^np++++=NPO
institutional ^jj+atrb+++=institutional
mission ^nn++++=mission.
. ^zz++++=EXTRAWORD
