Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
conclusion ^nn++++=conclusion
is ^vbz+bez+vrb++=is
a ^at++++=a
free ^jj+atrb+++=free
relative ^nn++++=relative
must ^md+nec+++=must
be ^vb+be+aux++=be
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
a ^at++++=a
restrictive ^jj+atrb+++=restrictive
relative ^jj+atrb+++=relative
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
leads ^vbz++++=leads
us ^pp1o+pp1+++=us
to ^to++++=to
conclude ^vbi+vprv+++=conclude
that ^tht+vcmp+++=that
Emonds ^np+++??+=Emonds
was ^vbd+bedz+vrb++=was
partially ^rb+down+++=partially
correct ^jj+pred+++=correct
in ^in++++=in
1979 ^cd+date+++=1979
in ^in++++=in
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
free ^jj+atrb+++=free
relatives ^nns++++=relatives
have ^vb+hv+vrb++=have
no ^at++++=no
appositive ^nn+++??+=appositive
counterpart ^nn++++=counterpart.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear
that ^tht+jcmp+++=that
free ^jj+atrb+++=free
relatives ^nns++++=relatives
must ^md+nec+++=must
be ^vb+be+aux++=be
derived ^vpsv++agls+xvbnx+=derived
via ^in++++=via
restrictive ^jj+atrb+++=restrictive
relatives ^nns++++=relatives,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
data ^nns++++=data
in ^in++++=in
( ^zz++++=(1)/(47)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
show ^vb+vprv+tht0++=show
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
appositive ^nn+++??+=appositive
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=How
are ^vb+ber+aux++=are
those ^dt+dem+++=those
appositive ^nn++++=appositive
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses
characterized ^nn++++=characterized?
? ^zz++++=EXTRAWORD
