The ^ati++++=The
main ^jjb+atrb+++=main
claim ^nn++++=claim
of ^in++++=of
the ^ati++++=the
discussion ^nn++++=discussion
presented ^vwbn+++xvbn+=presented
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
quem ^nn+++??+=quem-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
sentences ^nns++++=sentences
in ^in++++=in
question ^nn++++=question
are ^vb+ber+vrb++=are
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses
with ^in++++=with
appositive ^nn+++??+=appositive
content ^nn++++=content.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
free ^jj+atrb+++=free
relatives ^nns++++=relatives
in ^in++++=in
the ^ati++++=the
terms ^nns++++=terms
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Medeiros ^np+++??+=Medeiros
Junior ^jj++++=Junior
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
argue ^vbi+vpub+++=argue,
, ^zz++++=EXTRAWORD
the ^ati++++=the
antecedent ^nn++++=antecedent
D ^zz++++=D
head ^jjb++++=head
and ^cc++++=and
the ^ati++++=the
relative ^jj+atrb+++=relative
Cp ^np+++??+=CP
head ^jjb++++=head
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
amalgamated ^vpsv++agls+xvbnx+=amalgamated
through ^in++++=through
head ^jjb+atrb+++=head
incorporation ^nn++++=incorporation.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
means ^vbz++++=means
that ^tht+rel+obj++=that
the ^ati++++=the
relativized ^nn+++??+=relativized
nominal ^jj++++=nominal
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
anchor ^nn++++=anchor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
something ^pn++++=something
else ^rb+cnj+++=else
( ^zz++++=(the
the ^ati++++=EXTRAWORD
amalgamated ^jj+++xvbn+=amalgamated
Dp ^np+++??+=DP);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
then ^rn+tm+splt++=then
explain ^vb+vpub+++=explain
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
eliding ^nn++++=eliding
the ^ati++++=the
anchor ^nn++++=anchor
in ^in++++=in
such ^abl++++=such
constructions ^nns++++=constructions.
. ^zz++++=EXTRAWORD
