The ^ati++++=The
compilation ^nn++++=compilation
of ^in++++=of
the ^ati++++=the
Scielo ^np+++??+=SciELO
Citation ^np+++??+=Citation
Index ^nn++++=Index
is ^vbz+bez+vrb++=is
a ^at++++=a
recent ^nn++++=recent
undertaking ^vwbg+++xvbg+=undertaking
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
replaced ^vprf+++xvbnx+=replaced
its ^pp$+it+++=its
older ^jjr+atrb+++=older
global ^jj+atrb+++=global
reference ^nn++++=reference
database ^nn+++??+=database
Wos ^np+++??+=WoS
Core ^nn++++=Core
Collection ^nn++++=Collection.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
endeavor ^nn+++??+=endeavor
was ^vbd+bedz+aux++=was
justified ^vpsv++agls+xvbnx+=justified
simply ^rb++++=simply
on ^in++++=on
the ^ati++++=the
grounds ^nns++++=grounds
that ^tht+ncmp+++=that
it ^pp3+it+++=it
could ^md+pos+++=could
make ^vb++++=make
scientific ^jj+atrb+++=scientific
output ^nn++++=output
visible ^jj++++=visible
and ^cc+phrs+++=and
available ^jj++++=available
in ^in++++=in
open ^jj+atrb+++=open
access ^nn++++=access
which ^whp+rel+obj++=which
in ^in++++=in
itself ^ppl++++=itself
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
significant ^jj++++=significant,
, ^zz++++=EXTRAWORD
insofar ^nn+++??+=insofar
as ^ql++++=as
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
greater ^jjr+atrb+++=greater
exposure ^nn++++=exposure
to ^to++++=to
nationally ^rb++splt++=nationally
published ^vbi++++=published
journals ^nns++++=journals.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
feature ^nn++++=feature
that ^tht+rel+subj++=that
adds ^vbz+vpub+++=adds
to ^in++++=to
the ^ati++++=the
credibility ^nn+++??+=credibility
of ^in++++=of
the ^ati++++=the
Scielo ^np+++??+=SciELO
collection ^nn++++=collection
is ^vbz+bez+vrb++=is
its ^pp$+it+++=its
selectivity ^nn+++??+=selectivity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
strict ^jj+atrb+++=strict
assessment ^nn++++=assessment
procedures ^nns++++=procedures
and ^cc++++=and
criteria ^nns++++=criteria
applied ^vwbn+++xvbn+=applied
by ^in++++=by
the ^ati++++=the
scientific ^jj+atrb+++=scientific
advisory ^jj+atrb+++=advisory
committee ^nn++++=committee
of ^in++++=of
each ^dt++++=each
country ^nn++++=country
that ^tht+rel+subj++=that
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
Scielo ^np+++??+=SciELO
Network ^nn++++=Network.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
many ^ap++++=many
previous ^jj+atrb+++=previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
research ^nn++++=research
published ^vbd+++xvbn+=published,
, ^zz++++=EXTRAWORD
by ^in++++=by
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
, ^zz++++=,
national ^jj+atrb+++=national
journals ^nns++++=journals
receives ^vbz++++=receives
fewer ^ap++++=fewer
citations ^nns++++=citations
than ^in++++=than
commercial ^jj+atrb+++=commercial
high ^jj+atrb+++=high
impact ^nn++++=impact
journals ^nns++++=journals.
. ^zz++++=EXTRAWORD
