Recent ^jj+atrb+++=Recent
scholarship ^nn++++=scholarship
has ^vbz+hvz+aux++=has
begun ^vprf+++xvbnx+=begun
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
local ^jj+atrb+++=local
politicians ^nns++++=politicians
and ^cc++++=and
legislators ^nns+++??+=legislators
in ^in++++=in
Brazil ^np++++=Brazil
using ^vwbg+++xvbg+=using
a ^at++++=a
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
centered ^vbd+++xvbn+=centered
on ^in++++=on
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
brokers ^nns++++=brokers
( ^zz++++=(Eduardo,
eduardo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Novaes ^np+++??+=Novaes,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
provides ^vbz+vsua+++=provides
clear ^jj+atrb+++=clear
foundations ^nns++++=foundations,
, ^zz++++=EXTRAWORD
premises ^nns++++=premises,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
observable ^jj+atrb+++=observable
implications ^nns++++=implications
for ^in++++=for
analyzing ^nn+++??+=analyzing
these ^dt+dem+++=these
relationships ^nns++++=relationships
and ^cc++++=and
situates ^nns+++??+=situates
the ^ati++++=the
phenomenon ^nn++++=phenomenon
within ^in++++=within
the ^ati++++=the
broader ^jjr+atrb+++=broader
comparative ^jj+atrb+++=comparative
politics ^nn++++=politics
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
section ^nn++++=section
outlines ^nns++++=outlines
the ^ati++++=the
main ^jjb+atrb+++=main
characteristics ^nns++++=characteristics
of ^in++++=of
brokers ^nns++++=brokers
and ^cc++++=and
the ^ati++++=the
mechanisms ^nns++++=mechanisms
of ^in++++=of
intermediation ^nn++++=intermediation
described ^vwbn+++xvbn+=described
by ^in++++=by
these ^dt+dem+++=these
theories ^nns++++=theories,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
also ^rb++++=also
critically ^rb++++=critically
assessing ^vbg+++xvbg+=assessing
their ^pp$+pp3+++=their
applicability ^nn++++=applicability
to ^to++++=to
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context.
. ^zz++++=EXTRAWORD
