By ^in++++=By
late ^jj++++=late
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
many ^ap++++=many
Brazilian ^jj+atrb+++=Brazilian
scientists ^nns++++=scientists
anticipated ^vbd+vprv++xvbn+=anticipated
that ^tht+vcmp+++=that
vaccines ^nns++++=vaccines
would ^md+prd+++=would
play ^vb++++=play
a ^at++++=a
critical ^jj+atrb+++=critical
role ^nn++++=role
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
vaccines ^nns++++=vaccines
gained ^vbd+++xvbn+=gained
prominence ^nn++++=prominence
in ^in++++=in
Brazil ^np++++=Brazil:
: ^zz++++=EXTRAWORD
Coronavac ^np+++??+=CoronaVac,
, ^zz++++=EXTRAWORD
produced ^j+++xvbn+=produced
in ^in++++=in
China ^np++++=China
in ^in++++=in
collaboration ^nn++++=collaboration
with ^in++++=with
the ^ati++++=the
Butantan ^np+++??+=Butantan
Institute ^nn++++=Institute
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Astrazeneca ^np+++??+=AstraZeneca,
, ^zz++++=EXTRAWORD
developed ^j+++xvbn+=developed
in ^in++++=in
partnership ^nn++++=partnership
with ^in++++=with
Fiocruz ^np+++??+=Fiocruz,
, ^zz++++=EXTRAWORD
a ^at++++=a
federal ^jj+atrb+++=federal
institution ^nn++++=institution
based ^vwbn+++xvbn+=based
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
President ^npt++++=President
Bolsonaro ^np+++??+=Bolsonaro
initially ^rb+tm+++=initially
rejected ^xvbn+++xvbn+=rejected
vaccines ^nns++++=vaccines,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
Coronavac ^np+++??+=CoronaVac,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
associated ^vbd+++xvbnx+=associated
with ^in++++=with
the ^ati++++=the
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
state ^nn++++=state
government ^nn++++=government
and ^cc++++=and
its ^pp$+it+++=its
governor ^nn++++=governor,
, ^zz++++=EXTRAWORD
Jo ^np++++=Jo
o ^zz++++=o
Doria ^np++++=Doria.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
adopted ^vbd+++xvbn+=adopted
an ^at++++=an
ambivalent ^nn+++??+=ambivalent
stance ^nn++++=stance
and ^cc++++=and
publicly ^rb++++=publicly
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
vaccinated ^nn+++??+=vaccinated.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
his ^pp$+pp3+++=his
administration ^nn++++=administration
participated ^vbd+++xvbn+=participated
in ^in++++=in
the ^ati++++=the
Covax ^np+++??+=COVAX
Facility ^nn++++=Facility
an ^at++++=an
initiative ^nn++++=initiative
led ^vwbn+++xvbn+=led
by ^in++++=by
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
to ^to++++=to
facilitate ^vbi++++=facilitate
vaccine ^nn++++=vaccine
access ^nn++++=access
for ^in++++=for
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries
Bolsonaro ^np+++??+=Bolsonaro
opposed ^vbd+++xvbn+=opposed
a ^at++++=a
joint ^jjb+atrb+++=joint
proposal ^nn++++=proposal
by ^in++++=by
India ^np++++=India
and ^cc++++=and
South ^np+pl+++=South
Africa ^np++++=Africa
at ^in++++=at
the ^ati++++=the
World ^nn++++=World
Trade ^nn++++=Trade
Organization ^nn++++=Organization
to ^to++++=to
waive ^vbi++++=waive
patent ^jj+atrb+++=patent
protections ^nns++++=protections
for ^in++++=for
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
vaccines ^nns++++=vaccines.
. ^zz++++=EXTRAWORD
