To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
following ^jj+atrb++xvbg+=following
consultation ^nn++++=consultation
with ^in++++=with
two ^cd++++=two
experts ^nns++++=experts
in ^in++++=in
Sccs ^np+++??+=SCCS/SCRI
design ^nn++++=design,
, ^zz++++=EXTRAWORD
no ^at++++=no
specific ^jj+atrb+++=specific
methodological ^jj+atrb+++=methodological
assessment ^nn++++=assessment
tool ^nn++++=tool
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
or ^cc++++=or
validated ^nn+++??+=validated
for ^in++++=for
evaluating ^nn+++??+=evaluating
the ^ati++++=the
methodology ^nn++++=methodology
of ^in++++=of
Sccs ^np+++??+=SCCS/SCRI
designs ^nns++++=designs.
. ^zz++++=EXTRAWORD
In ^in++++=In
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
Wachira ^np+++??+=Wachira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
adapted ^j+++xvbn+=adapted
the ^ati++++=the
Newcastle ^np++++=Newcastle-Ottawa
- ^zz++++=EXTRAWORD
ottawa ^np++++=EXTRAWORD
Scale ^nn++++=Scale,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
developed ^vbd+++xvbn+=developed
for ^in++++=for
quality ^nn++++=quality
assessment ^nn++++=assessment
of ^in++++=of
cohort ^nn++++=cohort
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
to ^to++++=to
evaluate ^vbi++++=evaluate
Sccs ^np+++??+=SCCS
study ^nn++++=study
designs ^nns++++=designs
in ^in++++=in
their ^pp$+pp3+++=their
systematic ^jj+atrb+++=systematic
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
etiology ^nn+++??+=etiology
of ^in++++=of
Guillain ^np+++??+=Guillain-Barr
- ^zz++++=EXTRAWORD
barr ^np++++=EXTRAWORD
syndrome ^nn++++=syndrome.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
propose ^vbi++++=propose
a ^at++++=a
methodological ^jj+atrb+++=methodological
quality ^nn++++=quality
assessment ^nn++++=assessment
tool ^nn++++=tool
for ^in++++=for
use ^nn++++=use
in ^in++++=in
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
sccs ^np++++=SCCS/SCRI
study ^nn++++=study
designs ^nns++++=designs.
. ^zz++++=EXTRAWORD
