With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
adult ^nn++++=adult
s ^zz++++=s
intervention ^nn++++=intervention,
, ^zz++++=EXTRAWORD
an ^at++++=an
example ^nn++++=example
from ^in++++=from
the ^ati++++=the
table ^nn++++=table
below ^rb++++=below
illustrates ^vbz+vpub+++=illustrates
how ^wrb+who+whcl++=how
the ^ati++++=the
researcher ^nn++++=researcher
implemented ^vwbn+++xvbn+=implemented
support ^nn++++=support
actions ^nns++++=actions
and ^cc++++=and
strategies ^nns+++??+=strategies
to ^to++++=to
promote ^vbi++++=promote
and ^cc+phrs+++=and
develop ^vb++++=develop
scientific ^jj+atrb+++=scientific
attitudes ^nns++++=attitudes
in ^in++++=in
children ^nns++++=children
following ^vwbg+++xvbg+=following
their ^pp$+pp3+++=their
requests ^nns++++=requests.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
strategies ^nns+++??+=strategies
and ^cc++++=and
the ^ati++++=the
functions ^nns++++=functions
performed ^vwbn+++xvbn+=performed
by ^in++++=by
the ^ati++++=the
adult ^nn++++=adult
were ^vbd+bed+aux++=were
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
evaluation ^nn++++=evaluation,
, ^zz++++=EXTRAWORD
understood ^vpbn+vprv++xvbn+=understood
as ^ql++++=as
a ^at++++=a
tool ^nn++++=tool
to ^in++++=to
monitor ^nn++++=monitor
the ^ati++++=the
alignment ^nn++++=alignment
between ^in++++=between
pedagogical ^jj+atrb+++=pedagogical
principles ^nns++++=principles,
, ^zz++++=EXTRAWORD
intended ^vbn+vsua+++=intended
objectives ^nns++++=objectives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
educational ^jj+atrb+++=educational
decisions ^nns++++=decisions.
. ^zz++++=EXTRAWORD
