Various ^jj+atrb+++=Various
quality ^nn++++=quality
assessment ^nn++++=assessment
tools ^nns++++=tools
exist ^vb++++=exist
for ^in++++=for
both ^abx++++=both
quantitative ^jj+atrb+++=quantitative
and ^cc+phrs+++=and
qualitative ^jj+atrb+++=qualitative
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Researchers ^np+++??+=Researchers
sometimes ^rb++++=sometimes
modify ^vb++++=modify
existing ^jj+atrb++xvbg+=existing
instruments ^nns++++=instruments
or ^cc++++=or
develop ^vb++++=develop
new ^jj+atrb+++=new
ones ^pn++++=ones
to ^in++++=to
address ^nn++++=address
specific ^jj+atrb+++=specific
requirements ^nns++++=requirements,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
case ^nn++++=case
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
In ^in++++=In
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
self ^nn++++=self-controlled
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
case ^nn++++=case
series ^nn++++=series
( ^zz++++=(SCCS)
sccs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
self ^nn++++=self-controlled
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
risk ^vb++++=risk
interval ^nn++++=interval
( ^zz++++=(SCRI)
scri ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
included ^vbd+++xvbn+=included
in ^in++++=in
a ^at++++=a
systematic ^jj+atrb+++=systematic
review ^nn++++=review,
, ^zz++++=EXTRAWORD
no ^at++++=no
suitable ^jj+atrb+++=suitable
existing ^jj+atrb++xvbg+=existing
tool ^nn++++=tool
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Newcastle ^np++++=Newcastle-Ottawa
- ^zz++++=EXTRAWORD
ottawa ^np++++=EXTRAWORD
Scale ^nn++++=Scale
( ^zz++++=(NOS)
nos ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
cohort ^nn++++=cohort
studies ^nns++++=studies
was ^vbd+bedz+aux++=was
adapted ^vpsv++agls+xvbn+=adapted
for ^in++++=for
this ^dt+dem+++=this
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
