No ^at++++=No
weights ^nns++++=weights
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
the ^ati++++=the
sections ^nns++++=sections
of ^in++++=of
the ^ati++++=the
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
users ^nns++++=users
flexibility ^nn++++=flexibility
in ^in++++=in
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
overall ^jjb+atrb+++=overall
quality ^nn++++=quality
of ^in++++=of
a ^at++++=a
study ^nn++++=study
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
specific ^jj+atrb+++=specific
requirements ^nns++++=requirements
of ^in++++=of
the ^ati++++=the
quality ^nn++++=quality
assessment ^nn++++=assessment
and ^cc++++=and
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
evidence ^nn++++=evidence
synthesis ^nn++++=synthesis
product ^nn++++=product.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
sections ^nns++++=sections
of ^in++++=of
the ^ati++++=the
quality ^nn++++=quality
assessment ^nn++++=assessment
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
provides ^vbz+vsua+++=provides
explanations ^nns++++=explanations
for ^in++++=for
the ^ati++++=the
items ^nns++++=items
evaluated ^vwbn+++xvbn+=evaluated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
outlines ^nns++++=outlines
the ^ati++++=the
criteria ^nns++++=criteria
for ^in++++=for
awarding ^vbg+++xvbg+=awarding
stars ^nns++++=stars
to ^in++++=to
each ^dt++++=each
item ^nn++++=item.
. ^zz++++=EXTRAWORD
