Our ^pp$+pp1+++=Our
data ^nns++++=data
comprise ^vb++++=comprise
an ^at++++=an
expert ^jj++++=expert-validated
- ^zz++++=EXTRAWORD
validated ^nn+++??+=EXTRAWORD
list ^nn++++=list
of ^in++++=of
sand ^nn++++=sand
fly ^vb++++=fly
species ^nns++++=species
with ^in++++=with
updated ^nn+++??+=updated
nomenclature ^nn++++=nomenclature,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
a ^at++++=a
reliable ^jj++++=reliable
and ^cc+phrs+++=and
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
source ^nn++++=source
of ^in++++=of
information ^nn++++=information
on ^in++++=on
sand ^nn++++=sand
flies ^nns++++=flies
from ^in++++=from
remote ^jj+atrb+++=remote
areas ^nns++++=areas
of ^in++++=of
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
amazon ^np++++=Amazon.
. ^zz++++=EXTRAWORD
