Although ^cs+con+++=Although
Modi ^np+++??+=Modi
and ^cc++++=and
Bolsonaro ^np+++??+=Bolsonaro
adopted ^vbd+++xvbn+=adopted
different ^jj+atrb+++=different
approaches ^nns++++=approaches
to ^in++++=to
lockdowns ^nns+++??+=lockdowns,
, ^zz++++=EXTRAWORD
both ^abx++++=both
relied ^jj+++xvbn+=relied
on ^in++++=on
radical ^nn++++=radical
assumptions ^nns++++=assumptions
regarding ^in++++=regarding
herd ^nn++++=herd
immunity ^nn++++=immunity
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
perspectives ^nns++++=perspectives
which ^whp+rel+obj++=which
marginalized ^nn+++??+=marginalized
significant ^jj+atrb+++=significant
segments ^nns+++??+=segments
of ^in++++=of
their ^pp$+pp3+++=their
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
application ^nn++++=application
of ^in++++=of
the ^ati++++=the
herd ^nn++++=herd
immunity ^nn++++=immunity
concept ^nn++++=concept
entailed ^vbd+++xvbn+=entailed
significant ^jj+atrb+++=significant
necropolitical ^nn+++??+=necropolitical
implications ^nns++++=implications,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
implied ^vbd+vprv++xvbn+=implied
that ^tht+vcmp+++=that
the ^ati++++=the
deaths ^nns++++=deaths
of ^in++++=of
large ^jj+atrb+++=large
numbers ^nns++++=numbers
of ^in++++=of
individuals ^nns++++=individuals
deemed ^vwbn+++xvbn+=deemed
" ^zz++++="expendable"
expendable ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
both ^abx++++=both
necessary ^jj++++=necessary
and ^cc+phrs+++=and
acceptable ^jj++++=acceptable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
groups ^nns++++=groups
most ^ql+emph+++=most
adversely ^rb++++=adversely
affected ^vbd+++xvbn+=affected
included ^vprf+++xvbn+=included
Amazonian ^np+++??+=Amazonian
Indigenous ^jj+atrb+++=Indigenous
peoples ^nns++++=peoples
and ^cc++++=and
poor ^jj+atrb+++=poor
Afro ^np+++??+=Afro-Brazilians
- ^zz++++=EXTRAWORD
brazilians ^nn++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
Muslim ^jj+atrb+++=Muslim
minorities ^nns++++=minorities,
, ^zz++++=EXTRAWORD
Dalits ^np+++??+=Dalits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
migrant ^jj+atrb+++=migrant
workers ^nns++++=workers
in ^in++++=in
India ^np++++=India.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
the ^ati++++=the
Brazilian ^jj++++=Brazilian
and ^cc+phrs+++=and
Indian ^jj+atrb+++=Indian
federal ^jj+atrb+++=federal
governments ^nns++++=governments
promoted ^vwbn+++xvbn+=promoted
vaccines ^nns++++=vaccines
as ^in++++=as
a ^at++++=a
rapid ^jj+atrb+++=rapid
solution ^nn++++=solution,
, ^zz++++=EXTRAWORD
without ^in++++=without
addressing ^xvbg+++xvbg+=addressing
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
issues ^nns++++=issues
related ^vbd+++xvbn+=related
to ^in++++=to
basic ^jj+atrb+++=basic
living ^jj+atrb++xvbg+=living
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
reflected ^vbd+vprv++xvbn+=reflected
an ^at++++=an
initially ^rb+tm+++=initially
implicit ^jj+atrb+++=implicit
necropolitical ^nn+++??+=necropolitical
stance ^nn++++=stance
by ^in++++=by
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
as ^in++++=as
case ^nn++++=case
and ^cc++++=and
mortality ^nn++++=mortality
numbers ^nns++++=numbers
declined ^vbd+++xvbn+=declined,
, ^zz++++=EXTRAWORD
became ^jj+atrb++xvbn+=became
normalized ^nn+++??+=normalized.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
political ^jj+atrb+++=political
responses ^nns++++=responses
to ^in++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
crisis ^nn++++=crisis
not ^xnot++not++=not
only ^ap+down+++=only
failed ^vb+++xvbn+=failed
to ^to+vcmp+++=to
address ^vbi++++=address
but ^cc++++=but
also ^rb++++=also
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
ongoing ^nn+++??+=ongoing
invisibilization ^nn++++=invisibilization
of ^in++++=of
entrenched ^jj+atrb+++=entrenched
patterns ^nns++++=patterns
of ^in++++=of
racism ^nn++++=racism
and ^cc++++=and
discrimination ^nn++++=discrimination.
. ^zz++++=EXTRAWORD
