Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
video ^nn+++??+=video
incorporates ^vbz++++=incorporates
four ^cd++++=four
Hlma ^np+++??+=HLMA
segments ^nns+++??+=segments.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
segmentation ^nn+++??+=segmentation
informs ^vbz++++=informs
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
Hlma ^np+++??+=HLMA
frequencies ^nns++++=frequencies,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
11 ^cd++++=11
demonstrates ^vbz+vpub+++=demonstrates
that ^tht+vcmp+++=that
Hlma ^np+++??+=HLMA
1 ^zz++++=1
contains ^vbz++++=contains
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
grammatical ^jj+atrb+++=grammatical
components ^nns++++=components,
, ^zz++++=EXTRAWORD
with ^in++++=with
21 ^cd++++=21
instances ^nns++++=instances,
, ^zz++++=EXTRAWORD
surpassing ^jj++++=surpassing
all ^rb++++=all
other ^ap++++=other
segments ^nns+++??+=segments.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
Hlma ^np+++??+=HLMA
4 ^zz++++=4
and ^cc++++=and
Hlma ^np+++??+=HLMA
2 ^zz++++=2
utilize ^vb++++=utilize
10 ^cd++++=10
components ^nns++++=components
each ^dt++++=each
to ^to++++=to
engage ^vbi++++=engage
the ^ati++++=the
target ^nn++++=target
audience ^nn++++=audience
and ^cc++++=and
promote ^vb++++=promote
product ^nn++++=product
consumption ^nn++++=consumption,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Hlma ^np+++??+=HLMA
3 ^zz++++=3
contains ^vbz++++=contains
only ^rb+down+++=only
six ^cd++++=six
linguistic ^jj+atrb+++=linguistic
components ^nns++++=components.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
advertising ^jj+atrb++xvbg+=advertising
strategy ^nn++++=strategy
involves ^vbz++++=involves
a ^at++++=a
greater ^jjr+atrb+++=greater
use ^nn++++=use
of ^in++++=of
verbal ^jj+atrb+++=verbal
elements ^nns++++=elements
in ^in++++=in
the ^ati++++=the
introductory ^jj+atrb+++=introductory
and ^cc+phrs+++=and
concluding ^jj+atrb++xvbg+=concluding
segments ^nns+++??+=segments
of ^in++++=of
the ^ati++++=the
video ^nn+++??+=video.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Hlma ^np+++??+=HLMA
2 ^zz++++=2
and ^cc++++=and
Hlma ^np+++??+=HLMA
3 ^zz++++=3
rely ^vb++++=rely
more ^rbr++++=more
heavily ^rb++++=heavily
on ^in++++=on
visual ^jj+atrb+++=visual
and ^cc+phrs+++=and
auditory ^jj+atrb+++=auditory
elements ^nns++++=elements,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
images ^nns++++=images,
, ^zz++++=EXTRAWORD
colors ^nns+++??+=colors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sounds ^nns++++=sounds,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
spoken ^vprf+++xvbn+=spoken
language ^nn++++=language.
. ^zz++++=EXTRAWORD
