Municipal ^jj++++=Municipal
and ^cc+phrs+++=and
general ^jj++++=general
( ^zz++++=(state
state ^nn++++=EXTRAWORD
and ^cc++++=and
national ^jj++++=national)
) ^zz++++=EXTRAWORD
elections ^nns++++=elections
in ^in++++=in
Brazil ^np++++=Brazil
are ^vb+ber+aux++=are
held ^vpsv++agls+xvbnx+=held
alternately ^rb++++=alternately
every ^at++++=every
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
In ^in++++=In
municipal ^jj+atrb+++=municipal
elections ^nns++++=elections,
, ^zz++++=EXTRAWORD
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns+++??+=councilors
are ^vb+ber+aux++=are
elected ^vpsv++agls+xvbnx+=elected
in ^in++++=in
5,568 ^cd++++=5,568
municipalities ^nns+++??+=municipalities,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
general ^jj+atrb+++=general
elections ^nns++++=elections,
, ^zz++++=EXTRAWORD
state ^nn++++=state
and ^cc++++=and
national ^jj+atrb+++=national
legislators ^nns+++??+=legislators,
, ^zz++++=EXTRAWORD
senators ^nns++++=senators,
, ^zz++++=EXTRAWORD
governors ^npts++++=governors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
president ^nn++++=president
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic
are ^vb+ber+aux++=are
chosen ^vpsv++agls+xvbnx+=chosen.
. ^zz++++=EXTRAWORD
Executive ^nn++++=Executive
positions ^nns++++=positions
at ^rb++++=at
all ^abn++++=all
levels ^nns++++=levels
are ^vb+ber+aux++=are
filled ^vpsv++agls+xvbnx+=filled
through ^in++++=through
a ^at++++=a
majoritarian ^nn+++??+=majoritarian
electoral ^jj+atrb+++=electoral
system ^nn++++=system,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
legislators ^nns+++??+=legislators
and ^cc++++=and
councilors ^nns+++??+=councilors
are ^vb+ber+aux++=are
elected ^vpsv++agls+xvbnx+=elected
using ^vbg+++xvbg+=using
an ^at++++=an
open ^jj++++=open-list
- ^zz++++=EXTRAWORD
list ^nn++++=EXTRAWORD
proportional ^jj+atrb+++=proportional
representation ^nn++++=representation
system ^nn++++=system.
. ^zz++++=EXTRAWORD
In ^in++++=In
state ^nn++++=state
and ^cc++++=and
national ^jj+atrb+++=national
elections ^nns++++=elections,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
the ^ati++++=the
presidential ^jj+atrb+++=presidential
race ^nn++++=race,
, ^zz++++=EXTRAWORD
the ^ati++++=the
electoral ^jj+atrb+++=electoral
districts ^nns++++=districts
correspond ^vb++++=correspond
to ^in++++=to
the ^ati++++=the
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
federation ^nn++++=federation
units ^nns++++=units.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
even ^rb++++=even
national ^jj+atrb+++=national
representatives ^nns++++=representatives
are ^vb+ber+aux++=are
elected ^vpsv++agls+xvbnx+=elected
within ^in++++=within
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
states ^nns++++=states,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
electoral ^jj+atrb+++=electoral
campaigns ^nns++++=campaigns
are ^vb+ber+aux++=are
organized ^vbd+++xvbn+=organized
at ^rb++++=at
the ^ati++++=the
state ^nn++++=state
level ^nn++++=level.
. ^zz++++=EXTRAWORD
