These ^dt+dem+++=These
methodological ^jj+atrb+++=methodological
strategies ^nns+++??+=strategies
exemplify ^vb++++=exemplify
approaches ^nns++++=approaches
to ^to++++=to
effectively ^rb++splt++=effectively
support ^vbi++++=support
the ^ati++++=the
education ^nn++++=education
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
help ^vb++++=help
to ^in+vcmp+++=to
prevent ^vbi++++=prevent
issues ^nns++++=issues
related ^vbd+++xvbn+=related
to ^to++++=to
non ^&fw++++=non-inclusion,
- ^zz++++=EXTRAWORD
inclusion ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
insufficient ^jj+atrb+++=insufficient
teacher ^nn++++=teacher
preparedness ^nns+++??+=preparedness,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
other ^ap++++=other
previously ^rb+tm+++=previously
identified ^xvbn+++xvbn+=identified
barriers ^nns++++=barriers
that ^tht+rel+obj++=that
may ^md+pos+++=may
hinder ^vb++++=hinder
the ^ati++++=the
student ^nn++++=student
s ^zz++++=s
learning ^vwbg+vprv++xvbg+=learning
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
ongoing ^nn+++??+=ongoing
communication ^nn++++=communication
with ^in++++=with
the ^ati++++=the
student ^nn++++=student
remains ^nns++++=remains
essential ^jj++++=essential
to ^to+jcmp+++=to
determine ^vbi++++=determine
their ^pp$+pp3+++=their
preferred ^vbd+++xvbn+=preferred
learning ^vbg+vprv++xvbg+=learning
methods ^nns++++=methods
and ^cc++++=and
to ^to++++=to
ensure ^vbi+vprv+++=ensure
optimal ^jj+atrb+++=optimal
comprehension ^nn++++=comprehension
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
( ^zz++++=(Uliana,
uliana ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Ferreira ^np+++??+=Ferreira
& ^zz++++=&
Dickman ^np+++??+=Dickman,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
collaborative ^nn+++??+=collaborative
process ^nn++++=process
enables ^vbz++++=enables
both ^abx++++=both
the ^ati++++=the
teacher ^nn++++=teacher
and ^cc++++=and
the ^ati++++=the
student ^nn++++=student
to ^to++++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
implement ^vb++++=implement
instructional ^jj+atrb+++=instructional
methods ^nns++++=methods
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
mutually ^rb++++=mutually
effective ^jj+pred+++=effective.
. ^zz++++=EXTRAWORD
