Given ^vbd+++xvbn+=Given
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
inappropriate ^jj+atrb+++=inappropriate
use ^nn++++=use
of ^in++++=of
prescription ^nn++++=prescription
anxiolytic ^nn+++??+=anxiolytic
drugs ^nns++++=drugs
among ^in++++=among
university ^nn++++=university
health ^nn++++=health
students ^nns++++=students
( ^zz++++=(P
p ^zz++++=EXTRAWORD
rez ^nn+++??+=rez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2023 ^cd++++=2023).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
population ^nn++++=population
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
at ^rb++++=at
increased ^vbd+++xvbn+=increased
risk ^vb++++=risk
for ^in++++=for
the ^ati++++=the
misuse ^nn++++=misuse
of ^in++++=of
these ^dt+dem+++=these
psychotropic ^nn+++??+=psychotropic
medications ^nns+++??+=medications
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
factors ^vb++++=factors
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
certain ^jj+atrb+++=certain
level ^nn++++=level
of ^in++++=of
economic ^jj+atrb+++=economic
independence ^nn++++=independence,
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
direct ^jj+atrb+++=direct
supervision ^nn++++=supervision
by ^in++++=by
parents ^nns++++=parents
or ^cc++++=or
guardians ^nns++++=guardians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
higher ^jjr+atrb+++=higher
likelihood ^nn++++=likelihood
of ^in++++=of
using ^xvbg+++xvbg+=using
these ^dt+dem+++=these
substances ^nns++++=substances
to ^to++++=to
manage ^vbi++++=manage
the ^ati++++=the
demands ^nns++++=demands
of ^in++++=of
academic ^jj+atrb+++=academic
activities ^nns++++=activities
( ^zz++++=(Nogueira
nogueira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
souza ^np++++=Souza
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
