Simultaneously ^rb+cnj+++=Simultaneously,
, ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
states ^nns++++=states,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
clean ^vb++++=clean
your ^pp$+pp2+++=your
teeth ^nns++++=teeth
strong ^jj++++=strong
and ^cc+phrs+++=and
healthy ^jj++++=healthy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
responds ^vbz++++=responds,
, ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
gives ^vbz++++=gives
your ^pp$+pp2+++=your
mouth ^nn++++=mouth
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
paratactic ^nn+++??+=paratactic
conjunction ^nn++++=conjunction
" ^zz++++="And"
and ^cc++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
significant ^jj+pred+++=significant,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
contrasted ^jj+++xvbn+=contrasted
with ^in++++=with
the ^ati++++=the
earlier ^jjr++++=earlier-discussed
- ^zz++++=EXTRAWORD
discussed ^vbd+++xvbn+=EXTRAWORD
use ^nn++++=use
of ^in++++=of
" ^zz++++="But."
but ^cc++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
previously ^rb+tm+++=previously
employed ^vbd+++xvbn+=employed
" ^zz++++="But"
but ^cc++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^to++++=to
counter ^vbi++++=counter
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
s ^zz++++=s
statement ^nn++++=statement,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
uses ^vbz++++=uses
" ^zz++++="And"
and ^cc++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^in++++=to
affirm ^nn+++??+=affirm
and ^cc++++=and
extend ^vb++++=extend
the ^ati++++=the
claim ^nn++++=claim,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
strengthens ^vbz++++=strengthens
and ^cc+phrs+++=and
cleans ^vbz++++=cleans
teeth ^nns++++=teeth
but ^cc++++=but
also ^rb++++=also
provides ^vbz+vsua+++=provides
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
dual ^jj+atrb+++=dual
emphasis ^nn++++=emphasis
on ^in++++=on
dental ^jj+atrb+++=dental
health ^nn++++=health
and ^cc++++=and
oral ^jj+atrb+++=oral
freshness ^nn++++=freshness
positions ^nns++++=positions
the ^ati++++=the
product ^nn++++=product
as ^ql++++=as
addressing ^jj+++xvbg+=addressing
both ^abx++++=both
needs ^nns++++=needs
simultaneously ^rb+cnj+++=simultaneously,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
its ^pp$+it+++=its
characterization ^nn++++=characterization
as ^in++++=as
a ^at++++=a
" ^zz++++="2-IN-1"
2 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
toothpaste ^nn++++=toothpaste.
. ^zz++++=EXTRAWORD
