Marcos ^np+++??+=Marcos,
, ^zz++++=EXTRAWORD
a ^at++++=a
mathematics ^nn++++=mathematics
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
emphasized ^vb+++xvbn+=emphasized
that ^tht+vcmp+++=that
overall ^jjb++++=overall
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=EXTRAWORD
encompasses ^vbz++++=encompasses
both ^abx++++=both
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
emotional ^jj+atrb+++=emotional
health ^nn++++=health.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stated ^vbd+vpub++xvbnx+=stated
that ^tht+vcmp+++=that
an ^at++++=an
individual ^nn++++=individual
must ^md+nec+++=must
be ^vb+be+vrb++=be
physically ^rb++++=physically
healthy ^jj+pred+++=healthy,
, ^zz++++=EXTRAWORD
experience ^nn++++=experience
calmness ^nn++++=calmness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
free ^jj+pred+++=free
from ^in++++=from
disease ^nn++++=disease
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
achieve ^vb++++=achieve
well ^jj+pred+++=well-being.
- ^zz++++=EXTRAWORD
being. ^nn++++=EXTRAWORD
