However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
models ^nns++++=models
of ^in++++=of
brokerage ^nn+++??+=brokerage
may ^md+pos+++=may
not ^xnot++not++=not
adequately ^rb++++=adequately
capture ^vb++++=capture
brokerage ^nn+++??+=brokerage
relationships ^nns++++=relationships
in ^in++++=in
which ^whp+rel+pied++=which
both ^abx++++=both
parties ^nns++++=parties
are ^vb+ber+aux++=are
elected ^vpsv++agls+xvbnx+=elected
officials ^nns++++=officials
seeking ^vwbg+++xvbg+=seeking
votes ^nns++++=votes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
core ^nn++++=core
assumptions ^nns++++=assumptions
of ^in++++=of
these ^dt+dem+++=these
models ^nns++++=models
particularly ^rb++++=particularly
the ^ati++++=the
existence ^nn++++=existence
of ^in++++=of
conflicting ^jj+atrb+++=conflicting
objectives ^nns++++=objectives
between ^in++++=between
principal ^jjb++++=principal
and ^cc++++=and
agent ^nn++++=agent
( ^zz++++=(Gailmard,
gailmard ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012)
) ^zz++++=EXTRAWORD
and ^cc++++=and
informational ^nn+++??+=informational
asymmetry ^nn+++??+=asymmetry
favoring ^nn+++??+=favoring
the ^ati++++=the
agent ^nn++++=agent
do ^vb+do+aux++=do
not ^xnot++not++=not
consistently ^rb++++=consistently
apply ^vb++++=apply
to ^in++++=to
the ^ati++++=the
interactions ^nns++++=interactions
between ^in++++=between
Brazilian ^jj+atrb+++=Brazilian
legislators ^nns+++??+=legislators
and ^cc++++=and
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
brokers ^nns++++=brokers.
. ^zz++++=EXTRAWORD
As ^in++++=As
demonstrated ^nn++++=demonstrated
in ^in++++=in
the ^ati++++=the
following ^jj+atrb++xvbg+=following
sections ^nns++++=sections,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
relationships ^nns++++=relationships
exhibit ^vb++++=exhibit
considerable ^jj+atrb+++=considerable
variation ^nn++++=variation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
multiple ^jj+atrb+++=multiple
forms ^nns++++=forms
of ^in++++=of
equilibrium ^nn++++=equilibrium
are ^vb+ber+vrb++=are
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
