Regarding ^in++++=Regarding
budget ^nn++++=budget
amendments ^nns++++=amendments,
, ^zz++++=EXTRAWORD
legislators ^nns+++??+=legislators
offices ^nns++++=offices
typically ^rb++++=typically
maintain ^vb+vpub+++=maintain
spreadsheets ^nns+++??+=spreadsheets
that ^tht+rel+obj++=that
catalog ^nn+++??+=catalog
all ^abn++++=all
requests ^nns++++=requests,
, ^zz++++=EXTRAWORD
specifying ^vbg+++xvbg+=specifying
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
expenditure ^nn++++=expenditure
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
public ^jj+atrb+++=public
works ^nns++++=works,
, ^zz++++=EXTRAWORD
equipment ^nn++++=equipment,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
vehicle ^nn++++=vehicle
purchases ^nns++++=purchases),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
requested ^jj+atrb++xvbn+=requested
amount ^nn++++=amount,
, ^zz++++=EXTRAWORD
the ^ati++++=the
municipality ^nn++++=municipality
involved ^vbd+++xvbn+=involved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
intermediary ^nn++++=intermediary
who ^whp+rel+subj++=who
facilitated ^vbd+++xvbn+=facilitated
and ^cc+phrs+++=and
submitted ^vbd+vpub++xvbn+=submitted
the ^ati++++=the
request ^nn++++=request.
. ^zz++++=EXTRAWORD
Prior ^in+cmpx+++=Prior
to ^in"++++=to
the ^ati++++=the
official ^jj+atrb+++=official
allocation ^nn++++=allocation
of ^in++++=of
an ^at++++=an
amendment ^nn++++=amendment
to ^in++++=to
a ^at++++=a
specific ^jj+atrb+++=specific
locality ^nn++++=locality,
, ^zz++++=EXTRAWORD
the ^ati++++=the
office ^nn++++=office
generally ^rb+down+++=generally
contacts ^nns++++=contacts
the ^ati++++=the
requesters ^vb+++??+=requesters
to ^to+vcmp+++=to
communicate ^vbi++++=communicate
the ^ati++++=the
feasible ^jj+atrb+++=feasible
options ^nns+++??+=options.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
often ^rb++++=often
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
accommodate ^vbi++++=accommodate
all ^abn++++=all
requests ^nns++++=requests,
, ^zz++++=EXTRAWORD
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns+++??+=councilors
must ^md+nec+++=must
determine ^vb++++=determine
their ^pp$+pp3+++=their
priorities ^nns++++=priorities.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^to++++=to
most ^ql+emph+++=most
interviewees ^nns++++=interviewees,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
characterize ^vb++++=characterize
the ^ati++++=the
legislator ^nn++++=legislator
as ^in++++=as
a ^at++++=a
municipalist ^nn+++??+=municipalist,
, ^zz++++=EXTRAWORD
budget ^nn++++=budget
amendments ^nns++++=amendments
represent ^vb++++=represent
the ^ati++++=the
resources ^nns++++=resources
most ^ql+emph+++=most
highly ^rb+amp+++=highly
valued ^vpsv++by+xvbn+=valued
by ^in++++=by
mayors ^npts++++=mayors.
. ^zz++++=EXTRAWORD
