Pedro ^np++++=Pedro,
, ^zz++++=EXTRAWORD
a ^at++++=a
history ^nn++++=history
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
emphasized ^j+++xvbn+=emphasized
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
addressing ^xvbg+++xvbg+=addressing
both ^abx++++=both
mental ^jj+atrb+++=mental
and ^cc+phrs+++=and
physical ^jj+atrb+++=physical
aspects ^nns++++=aspects
in ^in++++=in
the ^ati++++=the
educational ^jj+atrb+++=educational
process ^nn++++=process.
. ^zz++++=EXTRAWORD
