Table ^nn++++=Table
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
descriptive ^jj+atrb+++=descriptive
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
scores ^nns++++=scores
assigned ^vwbn+++xvbn+=assigned
by ^in++++=by
all ^abn++++=all
patients ^nns++++=patients
after ^in++++=after
one ^cd1++++=one
year ^nn++++=year
of ^in++++=of
denture ^nn+++??+=denture
use ^nn++++=use
( ^zz++++=(t1),
t1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
generally ^rb+down+++=generally
high ^jj+pred+++=high.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
patient ^jj++++=patient
assigned ^jj+++xvbn+=assigned
a ^at++++=a
score ^nn++++=score
of ^in++++=of
zero ^cd++++=zero
for ^in++++=for
chewing ^xvbg+++xvbg+=chewing
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
for ^in++++=for
the ^ati++++=the
stability ^nn++++=stability
and ^cc++++=and
comfort ^nn++++=comfort
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scores ^nns++++=scores
for ^in++++=for
chewing ^xvbg+++xvbg+=chewing,
, ^zz++++=EXTRAWORD
aesthetics ^nn++++=aesthetics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hygiene ^nn++++=hygiene
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
lower ^jjr+pred+++=lower
for ^in++++=for
the ^ati++++=the
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures
compared ^vpsv++agls+xvbn+=compared
to ^to++++=to
the ^ati++++=the
upper ^jjb+atrb+++=upper
dentures ^nns++++=dentures
( ^zz++++=(p<0.05).
p<0.05 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
