Cone ^nn++++=Cone-beam
- ^zz++++=EXTRAWORD
beam ^nn++++=EXTRAWORD
computed ^vwbn+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CBCT)
cbct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
the ^ati++++=the
gold ^nn++++=gold
standard ^nn++++=standard
for ^in++++=for
maxillofacial ^nn+++??+=maxillofacial
imaging ^nn+++??+=imaging
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
ability ^nn++++=ability
to ^to+ncmp+++=to
provide ^vbi+vsua+++=provide
accurate ^jj++++=accurate
three ^cd++++=three-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
representations ^nns++++=representations
of ^in++++=of
anatomical ^jj+atrb+++=anatomical
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
technology ^nn++++=technology
enables ^vbz++++=enables
more ^rbr++++=more
precise ^jj+atrb+++=precise
visualization ^nn+++??+=visualization
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC)
mc ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^to++++=to
two ^cd++++=two-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
radiographic ^nn+++??+=radiographic
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
Oliveira ^np+++??+=Oliveira-Santos
- ^zz++++=EXTRAWORD
santos ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
among ^in++++=among
cases ^nns++++=cases
where ^wrb+who+++=where
the ^ati++++=the
Mc ^nnu++++=MC
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
detectable ^jj++++=detectable
on ^in++++=on
two ^cd++++=two-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
radiographs ^nns+++??+=radiographs,
, ^zz++++=EXTRAWORD
41 ^cd++++=41%
% ^zz++++=EXTRAWORD
became ^vbd+++xvbn+=became
visible ^jj++++=visible
when ^wrb+who+++=when
assessed ^vbd+++xvbn+=assessed
using ^vbg+++xvbg+=using
cbct ^np++++=CBCT
[ ^zz++++=[29].
29 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
