Scholz ^np+++??+=Scholz
establishes ^vbz+vprv+++=establishes
a ^at++++=a
distinction ^nn++++=distinction
between ^in++++=between
Putin ^np+++??+=Putin
and ^cc++++=and
the ^ati++++=the
Russian ^jj+atrb+++=Russian
people ^nns++++=people
by ^in++++=by
referencing ^nn+++??+=referencing
the ^ati++++=the
discourse ^nn++++=discourse
of ^in++++=of
German ^jj+atrb+++=German
reconciliation ^nn++++=reconciliation,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
at ^in++++=at
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
distal ^jj++++=distal
already ^rb++++=already-spoken,
- ^zz++++=EXTRAWORD
spoken ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
in ^in++++=in
example ^nn++++=example
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
The ^ati++++=The
integration ^nn++++=integration
of ^in++++=of
these ^dt+dem+++=these
two ^cd++++=two
discourses ^nns++++=discourses
serves ^vbz++++=serves
to ^to++++=to
provide ^vbi+vsua+++=provide
moral ^jj+atrb+++=moral
justification ^nn++++=justification
for ^in++++=for
the ^ati++++=the
personal ^jj+atrb+++=personal
criticism ^nn++++=criticism
of ^in++++=of
Putin ^np+++??+=Putin,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
perceived ^jj+atrb++xvbn+=perceived
historical ^jj+atrb+++=historical
responsibility ^nn++++=responsibility
to ^to+ncmp+++=to
guide ^vbi++++=guide
russia ^np++++=Russia
toward ^in++++=toward
integration ^nn++++=integration
with ^in++++=with
the ^ati++++=the
free ^jj+atrb+++=free
world ^nn++++=world.
. ^zz++++=EXTRAWORD
