Given ^vbd+++xvbn+=Given
the ^ati++++=the
current ^jj+atrb+++=current
context ^nn++++=context,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
both ^abx++++=both
the ^ati++++=the
National ^jj+atrb+++=National
Curriculum ^nn++++=Curriculum
Parameters ^nns++++=Parameters
( ^zz++++=(PCN)
pcn ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
regarding ^in++++=regarding
the ^ati++++=the
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
health ^nn++++=health
theme ^nn++++=theme
( ^zz++++=(BRASIL,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
National ^jj+atrb+++=National
Common ^jj+atrb+++=Common
Curricular ^np+++??+=Curricular
Base ^nn++++=Base
( ^zz++++=(BNCC)
bncc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(BRASIL,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
identify ^vb++++=identify
health ^nn++++=health
as ^in++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
area ^nn++++=area
of ^in++++=of
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
should ^md+nec+++=should
be ^vb+be+aux++=be
addressed ^vpsv++by+xvbnx+=addressed
by ^in++++=by
various ^jj+atrb+++=various
curricular ^nn+++??+=curricular
components ^nns++++=components
across ^in+pl+++=across
all ^abn++++=all
levels ^nns++++=levels
of ^in++++=of
basic ^jj+atrb+++=basic
education ^nn++++=education.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
guidelines ^nns+++??+=guidelines
emphasize ^vb++++=emphasize
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
consider ^vb+vprv+++=consider
students ^nns++++=students'
' ^zz++++=EXTRAWORD
developmental ^nn+++??+=developmental
stages ^nns++++=stages
and ^cc++++=and
advocate ^nn++++=advocate
for ^in++++=for
a ^at++++=a
progressive ^jj+atrb+++=progressive
approach ^nn++++=approach
to ^in++++=to
content ^jj+atrb+++=content
delivery ^nn++++=delivery.
. ^zz++++=EXTRAWORD
