The ^ati++++=The
ability ^nn++++=ability
and ^cc++++=and
willingness ^nn++++=willingness
to ^to+ncmp+++=to
utilize ^vbi++++=utilize
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
knowledge ^nn++++=knowledge
and ^cc++++=and
methodologies ^vbz+++??+=methodologies
used ^md"++pmd"++=used
to ^to++++=to
explain ^vb+vpub+tht0++=explain
the ^ati++++=the
natural ^jj+atrb+++=natural
world ^nn++++=world
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
identifying ^xvbg+++xvbg+=identifying
relevant ^jj+atrb+++=relevant
questions ^nns++++=questions
and ^cc++++=and
drawing ^nvbg+++xvbg+=drawing
evidence ^nn++++=evidence-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
Technological ^jj+atrb+++=Technological
competence ^nn++++=competence
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
this ^dt+dem+++=this
knowledge ^nn++++=knowledge
and ^cc++++=and
methodology ^nn++++=methodology
to ^in++++=to
address ^nn++++=address
identified ^vwbn+++xvbn+=identified
human ^jj+atrb+++=human
needs ^nns++++=needs
or ^cc++++=or
wants ^nns++++=wants.
. ^zz++++=EXTRAWORD
Competence ^nn++++=Competence
in ^in++++=in
science ^nn++++=science
and ^cc++++=and
technology ^nn++++=technology
also ^rb++++=also
encompasses ^vbz++++=encompasses
an ^at++++=an
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
changes ^nns++++=changes
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
human ^jj+atrb+++=human
activity ^nn++++=activity
and ^cc++++=and
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
responsibilities ^nns++++=responsibilities
of ^in++++=of
individuals ^nns++++=individuals
as ^ql++++=as
citizens ^nns++++=citizens
( ^zz++++=(Recommendation
recommendation ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
European ^jj+atrb+++=European
Parliament ^nn++++=Parliament
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
Council ^nn++++=Council
on ^in++++=on
Key ^jjb++++=Key
Competences ^np+++??+=Competences
for ^in++++=for
lifelong ^jj+atrb+++=Lifelong
learning ^nn++++=Learning,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
15 ^cd++++=15).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
