There ^ex+pex+++=There
are ^vb+ber+vrb++=are
two ^cd++++=two
primary ^jj+atrb+++=primary
instances ^nns++++=instances
in ^in++++=in
this ^dt+dem+++=this
communication ^nn++++=communication
that ^tht+rel+subj++=that
illustrate ^vb++++=illustrate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
proxemics ^nns+++??+=proxemics.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
occurs ^vbz++++=occurs
when ^wrb+who+++=when
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
enters ^vbz++++=enters
the ^ati++++=the
room ^nn++++=room
to ^to++++=to
respond ^vbi++++=respond
to ^in++++=to
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
s ^zz++++=s
statement ^nn++++=statement
in ^in++++=in
the ^ati++++=the
restroom ^nn+++??+=restroom.
. ^zz++++=EXTRAWORD
Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
personal ^jj+atrb+++=personal
distance ^nn++++=distance
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
distance ^nn++++=distance
is ^vbz+bez+aux++=is
reduced ^vpsv++agls+xvbnx+=reduced
to ^in++++=to
an ^at++++=an
intimate ^jj+atrb+++=intimate
level ^nn++++=level
when ^wrb+who+++=when
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
approaches ^nns++++=approaches
and ^cc++++=and
places ^nns++++=places
a ^at++++=a
lab ^nn++++=lab
coat ^nn++++=coat
on ^in++++=on
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
instance ^nn++++=instance
takes ^vbz++++=takes
place ^nn++++=place
in ^in++++=in
a ^at++++=a
different ^jj+atrb+++=different
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
joins ^nns++++=joins
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
to ^in++++=to
collaboratively ^nn+++??+=collaboratively
promote ^vb++++=promote
Oral ^jj++++=Oral-B,
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
both ^abx++++=both
using ^jj+++xvbg+=using
their ^pp$+pp3+++=their
right ^jj+atrb+++=right
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^jj+atrb+++=initial
personal ^jj+atrb+++=personal
distance ^nn++++=distance
is ^vbz+bez+aux++=is
similarly ^rb+cnj+splt++=similarly
reduced ^vpsv++agls+xvbnx+=reduced
as ^ql++++=as
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
moves ^vbz++++=moves
closer ^rbr++++=closer,
, ^zz++++=EXTRAWORD
ultimately ^rb++++=ultimately
placing ^vbg+++xvbg+=placing
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
s ^zz++++=s
shoulder ^nn++++=shoulder,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
a ^at++++=a
unified ^jj+atrb+++=unified
approach ^nn++++=approach
to ^in++++=to
marketing ^nn++++=marketing
oral ^jj++++=Oral-B.
- ^zz++++=EXTRAWORD
b. ^nn++++=EXTRAWORD
