There ^ex+pex+++=There
are ^vb+ber+vrb++=are
no ^at++++=no
reports ^nns++++=reports
that ^tht+ncmp+++=that
clearly ^rb++++=clearly
demonstrate ^vb+vprv+++=demonstrate
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
this ^dt+dem+++=this
body ^nn++++=body
of ^in++++=of
labor ^nn+++??+=labor
laws ^nns++++=laws
in ^in++++=in
the ^ati++++=the
sectors ^nns++++=sectors
described ^vbd+++xvbn+=described,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
given ^vprf+++xvbn+=given
the ^ati++++=the
high ^jj+atrb+++=high
rate ^nn++++=rate
of ^in++++=of
informality ^nn+++??+=informality
in ^in++++=in
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector
and ^cc++++=and
the ^ati++++=the
generally ^rb+down+++=generally
weak ^jj+atrb+++=weak
functionality ^nn+++??+=functionality
of ^in++++=of
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector
outside ^in+cmpx+++=outside
of ^in"++++=of
Guayaquil ^np+++??+=Guayaquil
and ^cc++++=and
Quito ^np+++??+=Quito.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
highly ^rb+amp+++=highly
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
these ^dt+dem+++=these
labor ^nn+++??+=labor
laws ^nns++++=laws
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
implemented ^vpsv++agls+xvbnx+=implemented
within ^in++++=within
the ^ati++++=the
centralized ^jj+atrb+++=centralized
public ^jj+atrb+++=public
sector ^nn++++=sector
and ^cc++++=and,
, ^zz++++=EXTRAWORD
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
industrial ^jj+atrb+++=industrial
sector ^nn++++=sector;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
probable ^jj+pred+++=probable
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
applied ^jj++++=applied
in ^in++++=in
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
the ^ati++++=the
informal ^jj+atrb+++=informal
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
