Oliveira ^np+++??+=Oliveira,
, ^zz++++=EXTRAWORD
Martins ^np+++??+=Martins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bracht ^np+++??+=Bracht
( ^zz++++=(2015a)
2015a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identify ^vb++++=identify
several ^ap++++=several
challenges ^vbz++++=challenges
associated ^vbd+++xvbn+=associated
with ^in++++=with
implementing ^xvbg+++xvbg+=implementing
an ^at++++=an
expanded ^jj+atrb++xvbn+=expanded
conception ^nn++++=conception
of ^in++++=of
health ^nn++++=health
within ^in++++=within
a ^at++++=a
school ^nn++++=school
setting ^vwbg+++xvbg+=setting,
, ^zz++++=EXTRAWORD
including ^in++++=including
resistance ^nn++++=resistance
among ^in++++=among
teaching ^xvbg+++xvbg+=teaching
staff ^nn++++=staff
to ^to++++=to
adopt ^vbi++++=adopt
new ^jj+atrb+++=new
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
when ^wrb+who+++=when
health ^nn++++=health
promotion ^nn++++=promotion
is ^vbz+bez+aux++=is
integrated ^vpsv++agls+xvbnx+=integrated
into ^in++++=into
pedagogical ^jj+atrb+++=pedagogical
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
a ^at++++=a
collective ^jj+atrb+++=collective
responsibility ^nn++++=responsibility
involving ^vwbg+++xvbg+=involving
all ^abn++++=all
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
community ^nn++++=community,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
emphasis ^nn++++=emphasis
on ^in++++=on
the ^ati++++=the
roles ^nns++++=roles
of ^in++++=of
teachers ^nns++++=teachers.
. ^zz++++=EXTRAWORD
