Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
criteria ^nns++++=criteria
developed ^vwbn+++xvbn+=developed
by ^in++++=by
the ^ati++++=the
authors ^nns++++=authors
to ^to++++=to
guide ^vbi++++=guide
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
articles ^nns++++=articles
for ^in++++=for
this ^dt+dem+++=this
literature ^nn++++=literature
review ^nn++++=review.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
criteria ^nns++++=criteria
were ^vbd+bed+aux++=were
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
ensure ^vbi+vprv+++=ensure
a ^at++++=a
focused ^jj+atrb++xvbn+=focused
and ^cc+phrs+++=and
systematic ^jj+atrb+++=systematic
approach ^nn++++=approach
to ^to++++=to
identifying ^vbg+++xvbg+=identifying
studies ^nns++++=studies
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
relevant ^jj++++=relevant
to ^to++++=to
addressing ^vbi++++=addressing
the ^ati++++=the
research ^nn++++=research
problem ^nn++++=problem
under ^in++++=under
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
