Several ^ap++++=Several
documents ^nns++++=documents,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
" ^zz++++="Proposal
proposal ^nn++++=EXTRAWORD
for ^in++++=for
Key ^jjb+atrb+++=Key
Principles ^nns++++=Principles
of ^in++++=of
a ^at++++=a
Quality ^nn++++=Quality
Framework ^nn++++=Framework
for ^in++++=for
Early ^jj+atrb+++=Early
Childhood ^nn++++=Childhood
Education ^nn++++=Education
and ^cc++++=and
Care ^nn++++=Care"
" ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
" ^zz++++="National
national ^jj+atrb+++=EXTRAWORD
Guidelines ^np+++??+=Guidelines
for ^in++++=for
the ^ati++++=the
Curriculum ^nn++++=Curriculum"
" ^zz++++=EXTRAWORD
( ^zz++++=(2012),
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
emphasize ^vb++++=emphasize
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
formative ^jj+atrb+++=formative
evaluation ^nn++++=evaluation
as ^in++++=as
a ^at++++=a
process ^nn++++=process
for ^in++++=for
research ^nn++++=research
and ^cc++++=and
innovation ^nn++++=innovation.
. ^zz++++=EXTRAWORD
Educational ^jj+atrb+++=Educational
evaluation ^nn++++=evaluation,
, ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
through ^in++++=through
the ^ati++++=the
observation ^nn++++=observation
and ^cc++++=and
analysis ^nn++++=analysis
of ^in++++=of
educational ^jj+atrb+++=educational
documentation ^nn++++=documentation,
, ^zz++++=EXTRAWORD
enables ^vbz++++=enables
teachers ^vb++++=teachers
to ^to+vcmp+++=to
assess ^vbi++++=assess
and ^cc+phrs+++=and
refine ^vb++++=refine
their ^pp$+pp3+++=their
educational ^jj+atrb+++=educational
approaches ^nns++++=approaches
to ^to++++=to
enhance ^vbi++++=enhance
learning ^vbg+vprv++xvbg+=learning
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
discussion ^nn++++=discussion
focuses ^vbz++++=focuses
on ^in++++=on
research ^nn++++=research
related ^vbd+++xvbn+=related
to ^in++++=to
scientific ^jj+atrb+++=scientific
education ^nn++++=education
in ^in++++=in
nursery ^nn++++=nursery
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
on ^in++++=on
theoretical ^jj+atrb+++=theoretical
frameworks ^nns++++=frameworks
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Dewey ^np+++??+=Dewey
( ^zz++++=(1933,
1933 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
1938 ^cd+date+++=1938),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Vygotsky ^np+++??+=Vygotsky
( ^zz++++=(1930,
1930 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
1934 ^cd+date+++=1934),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Wood ^nn++++=Wood,
, ^zz++++=EXTRAWORD
Bruner ^np+++??+=Bruner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ross ^np++++=Ross
( ^zz++++=(1976),
1976 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
psychoanalytic ^nn+++??+=psychoanalytic
perspectives ^nns++++=perspectives
on ^in++++=on
curiosity ^nn++++=curiosity
as ^in++++=as
a ^at++++=a
function ^nn++++=function
of ^in++++=of
psychic ^jj+atrb+++=psychic
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
Susan ^np++++=Susan
Isaacs ^np+++??+=Isaacs
( ^zz++++=(1930,
1930 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
1933 ^cd+date+++=1933)
) ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
Malting ^np+++??+=Malting
House ^nn++++=House.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research
is ^vbz+bez+aux++=is
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
conditions ^nns++++=conditions
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
aspects ^nns++++=aspects
of ^in++++=of
space ^nn++++=space,
, ^zz++++=EXTRAWORD
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adult ^jj+atrb+++=adult
engagement ^nn++++=engagement
that ^tht+rel+++=that
most ^ql+emph+++=most
effectively ^rb++++=effectively
support ^vb++++=support
scientific ^jj+atrb+++=scientific
inquiry ^nn++++=inquiry
among ^in++++=among
children ^nns++++=children.
