Many ^ap++++=Many
of ^in++++=of
them ^pp3o+pp3+++=them
do ^vb+do+aux++=do
not ^xnot++not++=not
receive ^vb++++=receive
any ^dti++++=any
monetary ^jj+atrb+++=monetary
compensation ^nn++++=compensation
for ^in++++=for
their ^pp$+pp3+++=their
labor ^nn+++??+=labor;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
remunerated ^vpsv++agls+xvbnx+=remunerated
with ^in++++=with
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
occupy ^vbi++++=occupy
the ^ati++++=the
land ^nn++++=land
on ^in++++=on
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
work ^vb++++=work.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
the ^ati++++=the
specific ^jj+atrb+++=specific
relationships ^nns++++=relationships
and ^cc++++=and
agreements ^nns++++=agreements
established ^vbd+vprv++xvbn+=established
on ^in++++=on
rural ^jj+atrb+++=rural
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
mountainous ^nns+++??+=mountainous
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
receive ^vb++++=receive
wages ^nns++++=wages
that ^tht+rel+obj++=that
range ^nn++++=range
from ^in++++=from
twenty ^cd++++=twenty
to ^to++++=to
fifty ^cd++++=fifty
cents ^nns++++=cents,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
warmer ^jjr+atrb+++=warmer
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
wages ^nns++++=wages
range ^nn++++=range
from ^in++++=from
eighty ^cd++++=eighty
cents ^nns++++=cents
to ^in++++=to
between ^in++++=between
two ^cd++++=two
and ^cc++++=and
three ^cd++++=three
sucres ^nns++++=sucres
( ^zz++++=(Moreno
moreno ^nn++++=EXTRAWORD
1992:73 ^cd++++=1992:73).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
