Communication ^nn++++=Communication
among ^in++++=among
office ^nn++++=office
staff ^nn++++=staff
constitutes ^vbz++++=constitutes
a ^at++++=a
significant ^jj+atrb+++=significant
source ^nn++++=source
of ^in++++=of
information ^nn++++=information
for ^in++++=for
state ^nn++++=state
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
communication ^nn++++=communication
enables ^vbz++++=enables
advisors ^vb++++=advisors
to ^to+vcmp+++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
an ^at++++=an
allied ^jj+++xvbn+=allied
or ^cc++++=or
soliciting ^nn+++??+=soliciting
mayor ^npt++++=mayor
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
seeking ^vbg+++xvbgx+=seeking
assistance ^nn++++=assistance
and ^cc++++=and
offering ^jj+atrb++xvbg+=offering
electoral ^jj+atrb+++=electoral
support ^nn++++=support
in ^in++++=in
other ^ap++++=other
offices ^nns++++=offices.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
legislators ^nns+++??+=legislators
rely ^vb++++=rely
on ^in++++=on
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
networks ^nns++++=networks
and ^cc++++=and
visits ^nns++++=visits
to ^in++++=to
municipalities ^nns+++??+=municipalities
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
mayors ^npts++++=mayors
efforts ^nns++++=efforts
in ^in++++=in
mobilizing ^nn+++??+=mobilizing
voters ^nns++++=voters
during ^in++++=during
election ^nn++++=election
campaigns ^nns++++=campaigns.
. ^zz++++=EXTRAWORD
Invitations ^nns++++=Invitations
from ^in++++=from
mayors ^npts++++=mayors
to ^to++++=to
attend ^vbi++++=attend
public ^jj+atrb+++=public
works ^nns++++=works
inaugurations ^nns+++??+=inaugurations
and ^cc++++=and
other ^ap++++=other
events ^nns++++=events
further ^jjb++++=further
serve ^vb++++=serve
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
their ^pp$+pp3+++=their
commitment ^nn++++=commitment
to ^to+ncmp+++=to
promoting ^vbi++++=promoting
the ^ati++++=the
representative ^nn++++=representative
within ^in++++=within
their ^pp$+pp3+++=their
municipality ^nn++++=municipality.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
monitoring ^nvbg+++xvbg+=monitoring
is ^vbz+bez+aux++=is
conducted ^vpsv++agls+xvbnx+=conducted
through ^in++++=through
various ^jj+atrb+++=various
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
facilitate ^vb++++=facilitate
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
brokers ^nns++++=brokers
and ^cc++++=and
allow ^vb++++=allow
for ^in+ppvb+++=for
the ^ati++++=the
adjustment ^nn++++=adjustment
of ^in++++=of
resource ^nn++++=resource
allocation ^nn++++=allocation
across ^in+pl+++=across
different ^jj+atrb+++=different
localities ^nns++++=localities.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
previous ^jj+atrb+++=previous
research ^nn++++=research
( ^zz++++=(Szwarcberg,
szwarcberg ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Gingerich ^np+++??+=Gingerich,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
findings ^nns++++=findings
underscore ^nn+++??+=underscore
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
ongoing ^nn+++??+=ongoing
learning ^vwbg+vprv++xvbg+=learning
in ^in++++=in
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
brokers ^nns++++=brokers
and ^cc++++=and
the ^ati++++=the
continual ^jj+atrb+++=continual
updating ^nn++++=updating
of ^in++++=of
expectations ^nns++++=expectations
regarding ^in++++=regarding
their ^pp$+pp3+++=their
performance ^nn++++=performance.
. ^zz++++=EXTRAWORD
