It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
Figure ^nn++++=Figure
1 ^zz++++=1
does ^vbz+doz+aux++=does
not ^xnot++not++=not
represent ^vb++++=represent
all ^rb++++=all
possible ^jj+atrb+++=possible
modes ^nns++++=modes
globally ^nn+++??+=globally.
. ^zz++++=EXTRAWORD
A ^at++++=A
single ^jj+atrb+++=single
mode ^nn++++=mode
may ^md+pos+++=may
encompass ^vbz+++??+=encompass
several ^ap++++=several
sub ^nn++++=sub-modes
- ^zz++++=EXTRAWORD
modes ^nns++++=EXTRAWORD
that ^tht+rel+obj++=that
function ^nn++++=function
within ^in++++=within
its ^pp$+it+++=its
domain ^nn++++=domain;
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
beings ^nns++++=beings
and ^cc++++=and
clothing ^nn++++=clothing,
, ^zz++++=EXTRAWORD
architectural ^jj+atrb+++=architectural
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
automobiles ^nns++++=automobiles
can ^md+pos+++=can
each ^dt++++=each
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
units ^nns++++=units
or ^cc++++=or
sub ^nn++++=sub-modes
- ^zz++++=EXTRAWORD
modes ^nns++++=EXTRAWORD
( ^zz++++=(O
o ^zz++++=EXTRAWORD
Halloran ^np+++??+=Halloran
& ^zz++++=&
Baldry ^np+++??+=Baldry,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
language ^nn++++=language,
, ^zz++++=EXTRAWORD
image ^nn++++=image,
, ^zz++++=EXTRAWORD
color ^nn+++??+=color,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
music ^nn++++=music
as ^in++++=as
entry ^nn++++=entry
points ^nns++++=points
appears ^vbz+seem+++=appears
sufficient ^jj++++=sufficient
for ^in++++=for
illustrating ^xvbg+++xvbg+=illustrating
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
modes ^nns++++=modes
commonly ^rb++++=commonly
employed ^vbd+++xvbn+=employed
in ^in++++=in
various ^jj+atrb+++=various
communicative ^nn+++??+=communicative
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
As ^in++++=As
depicted ^nn++++=depicted
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
language ^nn++++=language
comprises ^vbz++++=comprises
both ^abx++++=both
spoken ^jj+atrb++xvbn+=spoken
and ^cc+phrs+++=and
written ^jj+atrb++xvbn+=written
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
with ^in++++=with
multiple ^jj+atrb+++=multiple
theoretical ^jj+atrb+++=theoretical
perspectives ^nns++++=perspectives
evaluating ^nn+++??+=evaluating
their ^pp$+pp3+++=their
characteristics ^nns++++=characteristics
within ^in++++=within
linguistic ^jj+atrb+++=linguistic
frameworks ^nns++++=frameworks
( ^zz++++=(Kress,
kress ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Yule ^np++++=Yule,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Jaworski ^np+++??+=Jaworski
& ^zz++++=&
Coupland ^np+++??+=Coupland,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
category ^nn++++=category
of ^in++++=of
image ^nn++++=image
is ^vbz+bez+vrb++=is
further ^jjb++++=further
divided ^jj+++xvbn+=divided
into ^in++++=into
animate ^nn+++??+=animate
and ^cc++++=and
inanimate ^jj+atrb+++=inanimate
components ^nns++++=components,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
its ^pp$+it+++=its
own ^ap++++=own
subdivisions ^nns+++??+=subdivisions.
. ^zz++++=EXTRAWORD
Elements ^nns++++=Elements
such ^abl++++=such
as ^ql++++=as
proxemics ^nns+++??+=proxemics,
, ^zz++++=EXTRAWORD
gesture ^nn++++=gesture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gaze ^nn++++=gaze
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
examined ^vpsv++agls+xvbnx+=examined
as ^ql++++=as
aspects ^nns++++=aspects
of ^in++++=of
spatial ^jj+atrb+++=spatial
and ^cc+phrs+++=and
gestural ^jj+atrb++??+=gestural
communication ^nn++++=communication
( ^zz++++=(Hall,
hall ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1974 ^cd+date+++=1974;
; ^zz++++=EXTRAWORD
Hostetter ^np+++??+=Hostetter,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Kendon ^np+++??+=Kendon,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Antas ^np+++??+=Antas
& ^zz++++=&
Gembalczyk ^np+++??+=Gembalczyk,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Martin ^np++++=Martin
and ^cc++++=and
Zappavigna ^np+++??+=Zappavigna
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
gestures ^nns++++=gestures
function ^nn++++=function
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
