Figure ^nn++++=Figure
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
search ^nn++++=search
procedures ^nns++++=procedures
employed ^vbd+++xvbn+=employed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
the ^ati++++=the
definition ^nn++++=definition
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
problem ^nn++++=problem,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
discussed ^vbd+++xvbn+=discussed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^nn++++=initial
step ^vb++++=step
involved ^vbd+++xvbn+=involved
specifying ^vbg+++xvbg+=specifying
the ^ati++++=the
databases ^nns+++??+=databases
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
selecting ^vbg+++xvbg+=selecting
appropriate ^jj+atrb+++=appropriate
search ^nn++++=search
terms ^nns++++=terms
( ^zz++++=(keywords),
keywords ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
determining ^vbg+++xvbg+=determining
the ^ati++++=the
search ^nn++++=search
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
these ^dt+dem+++=these
parameters ^nns++++=parameters
were ^vbd+bed+aux++=were
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
stage ^nn++++=stage
entailed ^vbd+++xvbn+=entailed
conducting ^nvbg+++xvbg+=conducting
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
studies ^nns++++=studies
relevant ^jj++++=relevant
to ^in++++=to
the ^ati++++=the
central ^jj+atrb+++=central
theme ^nn++++=theme
of ^in++++=of
the ^ati++++=the
research ^nn++++=research.
. ^zz++++=EXTRAWORD
