While ^cs+sub+++=While
Uliana ^np+++??+=Uliana
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
focuses ^vbz++++=focuses
on ^in++++=on
tactile ^jj+atrb+++=tactile
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
and ^cc++++=and
Reily ^np+++??+=Reily
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigate ^vb++++=investigate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
auditory ^jj+atrb+++=auditory
materials ^nns++++=materials
in ^in++++=in
music ^nn++++=music
education ^nn++++=education
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
Pring ^np+++??+=Pring
and ^cc++++=and
Ockelford ^np+++??+=Ockelford
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
and ^cc++++=and
Reily ^np+++??+=Reily
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
state ^vb++++=state
that ^tht+vcmp+obj++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
language ^nn++++=language,
, ^zz++++=EXTRAWORD
cognitive ^nn+++??+=cognitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
motor ^nn++++=motor
skills ^nns++++=skills
and ^cc++++=and
exposure ^nn++++=exposure
to ^in++++=to
environments ^nns++++=environments
conducive ^jj++++=conducive
to ^in++++=to
musical ^jj+atrb+++=musical
engagement ^nn++++=engagement,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
benefits ^nns++++=benefits
both ^abx++++=both
sighted ^jj+atrb++xvbn+=sighted
and ^cc+phrs+++=and
blind ^jj+atrb+++=blind
students ^nns++++=students
( ^zz++++=(Oliveira
oliveira ^nn+++??+=EXTRAWORD
& ^zz++++=&
Reily ^np+++??+=Reily,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
408 ^cd++++=408).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
propose ^vb++++=propose
various ^jj+atrb+++=various
didactic ^nn+++??+=didactic
materials ^nns++++=materials
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
including ^in++++=including
interactive ^nn+++??+=interactive
activities ^nns++++=activities
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
increase ^vbi++++=increase
student ^nn++++=student
engagement ^nn++++=engagement,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
embossed ^vb+++??+=embossed
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
Braille ^np+++??+=Braille,
, ^zz++++=EXTRAWORD
voice ^nn++++=voice
synthesizers ^nns+++??+=synthesizers,
, ^zz++++=EXTRAWORD
screen ^nn++++=screen
readers ^nns++++=readers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
assistive ^nn+++??+=assistive
technologies ^nns+++??+=technologies
that ^tht+rel+obj++=that
support ^nn++++=support
learning ^vwbg+vprv++xvbg+=learning.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
and ^cc++++=and
Reily ^np+++??+=Reily
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
emphasize ^vb++++=emphasize
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
encouragement ^nn++++=encouragement
from ^in++++=from
family ^nn++++=family,
, ^zz++++=EXTRAWORD
teachers ^nns++++=teachers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
community ^nn++++=community
in ^in++++=in
promoting ^vbg+++xvbg+=promoting
the ^ati++++=the
educational ^jj+atrb+++=educational
development ^nn++++=development
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
