Chart ^nn++++=Chart
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
profiles ^nns++++=profiles
of ^in++++=of
the ^ati++++=the
teachers ^nns++++=teachers
interviewed ^vwbn+++xvbn+=interviewed.
. ^zz++++=EXTRAWORD
With ^in+cmpx+++=With
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
one ^cd1++++=one
teacher ^nn++++=teacher
( ^zz++++=(Pedro),
pedro ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
participants ^nns++++=participants
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
experienced ^vprf+++xvbn+=experienced
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
reesp ^np++++=REESP
program ^nn++++=program
and ^cc++++=and
within ^in++++=within
the ^ati++++=the
school ^nn++++=school
unit ^nn++++=unit.
. ^zz++++=EXTRAWORD
