4 ^zz++++=4.
. ^zz++++=EXTRAWORD
Experimentation ^nn++++=Experimentation.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
category ^nn++++=category
encompasses ^vbz++++=encompasses
all ^rb++++=all
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
child ^nn++++=child
engages ^nns+++??+=engages
with ^in++++=with
and ^cc++++=and
manipulates ^nns+++??+=manipulates
available ^jj+atrb+++=available
materials ^nns++++=materials
based ^vwbn+++xvbn+=based
on ^in++++=on
a ^at++++=a
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
is ^vbz+bez+vrb++=is
subject ^nn++++=subject
to ^in++++=to
verification ^nn+++??+=verification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
defining ^jj+atrb++xvbg+=defining
feature ^nn++++=feature
of ^in++++=of
this ^dt+dem+++=this
category ^nn++++=category
is ^vbz+bez+vrb++=is
the ^ati++++=the
explicit ^jj+atrb+++=explicit
verbalization ^nn+++??+=verbalization
of ^in++++=of
the ^ati++++=the
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
execution ^nn++++=execution
of ^in++++=of
actions ^nns++++=actions
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
test ^vb++++=test
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
observation ^nn++++=observation
of ^in++++=of
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
of ^in++++=of
behavior ^nn++++=behavior
aligns ^nns+++??+=aligns
with ^in++++=with
Dewey ^np+++??+=Dewey
s ^zz++++=s
theory ^nn++++=theory
of ^in++++=of
the ^ati++++=the
investigative ^nn+++??+=investigative
process ^nn++++=process.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
observation ^nn++++=observation,
, ^zz++++=EXTRAWORD
Leonardo ^np+++??+=Leonardo
interacts ^nns+++??+=interacts
with ^in++++=with
a ^at++++=a
pool ^nn++++=pool
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
states ^np++++=states,
, ^zz++++=EXTRAWORD
" ^zz++++="Look!
look ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
floats ^vbz++++=floats
( ^zz++++=(indicating
indicating ^vbg+vprv++xvbg+=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
wood ^nn++++=wood),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
this ^dt+dem+++=this
on ^in++++=on
it ^pp3+it+++=it
( ^zz++++=(a
a ^at++++=EXTRAWORD
plastic ^nn++++=plastic
bottle ^nn++++=bottle
full ^jj++++=full
of ^in++++=of
water ^nn++++=water),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
all ^rb++splt++=all
go ^vb++++=go
down ^rp++++=down,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
articulating ^vb+++??+=articulating
his ^pp$+pp3+++=his
hypothesis ^nn++++=hypothesis
and ^cc++++=and
testing ^nn++++=testing
it ^pp3+it+++=it
through ^in++++=through
direct ^jj+atrb+++=direct
experimentation ^nn++++=experimentation.
. ^zz++++=EXTRAWORD
