Table ^nn++++=Table
4 ^zz++++=4
presents ^vbz++++=presents
the ^ati++++=the
scores ^nns++++=scores
assigned ^vbd+++xvbn+=assigned
to ^in++++=to
food ^nn++++=food
chewing ^vwbg+++xvbg+=chewing
abilities ^nns++++=abilities
by ^in++++=by
all ^abn++++=all
patients ^nns++++=patients
who ^whp+rel+subj++=who
used ^vbd+++xvbn+=used
the ^ati++++=the
dentures ^nns++++=dentures.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scores ^nns++++=scores
were ^vbd+bed+vrb++=were
high ^jj+pred+++=high;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
patient ^nn++++=patient
who ^whp+rel+subj++=who
assigned ^vbd+++xvbn+=assigned
a ^at++++=a
score ^nn++++=score
of ^in++++=of
zero ^cd++++=zero
for ^in++++=for
chewing ^xvbg+++xvbg+=chewing,
, ^zz++++=EXTRAWORD
stability ^nn++++=stability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comfort ^nn++++=comfort
in ^in++++=in
the ^ati++++=the
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures
also ^rb++++=also
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
score ^nn++++=score
of ^in++++=of
zero ^cd++++=zero
for ^in++++=for
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
chew ^vb++++=chew
all ^abn++++=all
foods ^nns++++=foods.
. ^zz++++=EXTRAWORD
