According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
2016 ^cd++++=2016
annual ^jj+atrb+++=annual
management ^nn++++=management
report ^nn++++=report,
, ^zz++++=EXTRAWORD
structural ^jj++++=structural
and ^cc++++=and
logistical ^nn+++??+=logistical
challenges ^vbz++++=challenges
significantly ^rb++++=significantly
hinder ^vb++++=hinder
the ^ati++++=the
mobility ^nn++++=mobility
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
populations ^nns++++=populations
to ^in++++=to
urban ^jj+atrb+++=urban
centers ^nns+++??+=centers.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
availability ^nn++++=availability
or ^cc++++=or
complete ^jj+atrb+++=complete
absence ^nn++++=absence
of ^in++++=of
specialized ^jj+atrb++xvbn+=specialized
services ^nns++++=services
near ^in+pl+++=near
indigenous ^jj+atrb+++=indigenous
villages ^nns++++=villages
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
near ^jj+atrb+++=near
absence ^nn++++=absence
of ^in++++=of
prosthetic ^nn+++??+=prosthetic
rehabilitation ^nn++++=rehabilitation
procedures ^nns++++=procedures
for ^in++++=for
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
population ^nn++++=population
within ^in++++=within
the ^ati++++=the
Special ^jj+atrb+++=Special
Indigenous ^jj+atrb+++=Indigenous
Health ^nn++++=Health
District ^nn++++=District
of ^in++++=of
Bahia ^np+++??+=Bahia
( ^zz++++=(DSEI
dsei ^nn+++??+=EXTRAWORD
Bahia ^np+++??+=Bahia).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
demand ^nn++++=demand
for ^in++++=for
prosthetic ^nn+++??+=prosthetic
services ^nns++++=services
in ^in++++=in
this ^dt+dem+++=this
region ^nn++++=region
substantially ^rb++++=substantially
exceeds ^vbz++++=exceeds
the ^ati++++=the
existing ^jj+atrb+++=existing
service ^nn++++=service
capacity ^nn++++=capacity.
. ^zz++++=EXTRAWORD
