Among ^in++++=Among
all ^abn++++=all
the ^ati++++=the
Llm ^np+++??+=LLM
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
O ^zz++++=O-BT21
- ^zz++++=EXTRAWORD
bt21 ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^rb++++=first
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
the ^ati++++=the
advertised ^jj+atrb++xvbn+=advertised
product ^nn++++=product
is ^vbz+bez+aux++=is
fully ^rb+amp+splt++=fully
displayed ^vpsv++agls+xvbnx+=displayed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
" ^zz++++="With
with ^in++++=EXTRAWORD
New ^jj++++=New
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
2 ^zz++++=2-IN-1
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
Toothpaste ^nn++++=Toothpaste"
" ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
pronounced ^vpsv++agls+xvbnx+=pronounced
to ^to++++=to
emphasize ^vbi++++=emphasize
the ^ati++++=the
rationale ^nn++++=rationale
for ^in++++=for
purchasing ^xvbg+++xvbg+=purchasing
the ^ati++++=the
product ^nn++++=product,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
its ^pp$+it+++=its
effectiveness ^nn++++=effectiveness
in ^in++++=in
cleaning ^xvbg+++xvbg+=cleaning
teeth ^nns++++=teeth
each ^dt++++=each
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
statement ^nn++++=statement,
, ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
maintains ^vbz+vpub+++=maintains
direct ^jj+atrb+++=direct
eye ^nn++++=eye
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
target ^nn++++=target
audience ^nn++++=audience
through ^in++++=through
a ^at++++=a
vector ^nn++++=vector
gaze ^nn++++=gaze
and ^cc++++=and
accompanying ^jj+atrb++xvbg+=accompanying
hand ^nn++++=hand
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
communication ^nn++++=communication
designer ^nn++++=designer
further ^jjb++++=further
introduces ^vbz++++=introduces
a ^at++++=a
social ^jj+atrb+++=social
actor ^nn++++=actor
who ^whp+rel+subj++=who
holds ^vbz+vprv+++=holds
a ^at++++=a
teeth ^nns++++=teeth-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
object ^nn++++=object,
, ^zz++++=EXTRAWORD
illustrating ^vbg+++xvbg+=illustrating
how ^wrb+who+++=how
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
contributes ^vbz++++=contributes
to ^in++++=to
dental ^jj+atrb+++=dental
strength ^nn++++=strength
and ^cc++++=and
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
teeth ^nns++++=teeth-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
object ^nn++++=object,
, ^zz++++=EXTRAWORD
the ^ati++++=the
social ^jj+atrb+++=social
actor ^nn++++=actor
turns ^vbz++++=turns
his ^pp$+pp3+++=his
head ^nn++++=head
toward ^in++++=toward
the ^ati++++=the
viewer ^nn++++=viewer
( ^zz++++=(sagittal
sagittal ^nn+++??+=EXTRAWORD
orientation ^nn++++=orientation,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reinforcing ^nvbg+++xvbg+=reinforcing
eye ^nn++++=eye
contact ^nn++++=contact.
. ^zz++++=EXTRAWORD
figure ^nn++++=Figure
6 ^zz++++=6
presents ^nns++++=presents
shots ^nns++++=shots
of ^in++++=of
hlma ^np++++=HLMA
3 ^zz++++=3
( ^zz++++=(images).
images ^nns++++=EXTRAWORD
). ^nn++++=EXTRAWORD
