It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
analysis ^nn++++=analysis
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
student ^nn++++=student
s ^zz++++=s
edition ^nn++++=edition
of ^in++++=of
the ^ati++++=the
textbook ^nn++++=textbook,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
available ^jj+pred+++=available
on ^in++++=on
the ^ati++++=the
Way ^nn++++=Way
to ^in++++=to
English ^jj++++=English/Way
to ^to++++=to
Go ^vbi++++=Go!
! ^zz++++=EXTRAWORD
website ^nn+++??+=website,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
teacher ^nn++++=teacher
s ^zz++++=s
edition ^nn++++=edition
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
accessible ^jj++++=accessible.
. ^zz++++=EXTRAWORD
