Several ^ap++++=Several
European ^jj+atrb+++=European
policy ^nn++++=policy
documents ^nns++++=documents
( ^zz++++=(Indicazioni
indicazioni ^nn+++??+=EXTRAWORD
Nazionali ^np+++??+=Nazionali
per ^in++++=per
il ^&fw++++=il
Curricolo ^np+++??+=Curricolo
della ^&fw++++=della
Scuola ^np+++??+=Scuola
dell ^np++++=dell
Infanzia ^np+++??+=Infanzia
e ^zz++++=e
del ^&fw++++=del
Primo ^np++++=Primo
Ciclo ^np+++??+=Ciclo
di ^&fw++++=di
Istruzione ^np+++??+=Istruzione,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Quality ^nn++++=Quality
Toolbox ^np+++??+=Toolbox:
: ^zz++++=EXTRAWORD
Executive ^nn++++=Executive
Summary ^jj++++=Summary,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Proposal ^nn++++=Proposal
for ^in++++=for
Key ^jjb+atrb+++=Key
Principles ^nns++++=Principles
of ^in++++=of
a ^at++++=a
Quality ^nn++++=Quality
Framework ^nn++++=Framework
for ^in++++=for
Early ^jj+atrb+++=Early
Childhood ^nn++++=Childhood
Education ^nn++++=Education
and ^cc++++=and
Care ^nn++++=Care,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014)
) ^zz++++=EXTRAWORD
explicitly ^rb++++=explicitly
reject ^vb++++=reject
the ^ati++++=the
notion ^nn++++=notion
of ^in++++=of
evaluation ^nn++++=evaluation
as ^in++++=as
a ^at++++=a
process ^nn++++=process
limited ^vbd+++xvbn+=limited
to ^in++++=to
classification ^nn++++=classification
and ^cc++++=and
judgment ^nn++++=judgment.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
documents ^nns++++=documents
emphasize ^vb++++=emphasize
that ^tht+vcmp+++=that
the ^ati++++=the
primary ^jj+atrb+++=primary
function ^nn++++=function
of ^in++++=of
teacher ^nn++++=teacher-led
- ^zz++++=EXTRAWORD
led ^vwbn+++xvbn+=EXTRAWORD
evaluation ^nn++++=evaluation
is ^vbz+bez+aux++=is
to ^to++++=to
recognize ^vbi+vprv+++=recognize,
, ^zz++++=EXTRAWORD
describe ^vb++++=describe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
support ^nn++++=support
the ^ati++++=the
growth ^nn++++=growth
and ^cc++++=and
development ^nn++++=development
of ^in++++=of
children ^nns++++=children.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
assign ^vb++++=assign
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
to ^in++++=to
professional ^jj+atrb+++=professional
practices ^nns++++=practices
such ^abl++++=such
as ^ql++++=as
observation ^nn++++=observation
and ^cc++++=and
documentation ^nn++++=documentation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
highlight ^nn++++=highlight
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
self ^nn++++=self-evaluation
- ^zz++++=EXTRAWORD
evaluation ^nn++++=EXTRAWORD
by ^in++++=by
both ^abx++++=both
children ^nns++++=children
and ^cc++++=and
teachers ^nns++++=teachers.
. ^zz++++=EXTRAWORD
Collaborative ^np+++??+=Collaborative
analysis ^nn++++=analysis
of ^in++++=of
previously ^rb+tm+++=previously
collected ^vbd+++xvbn+=collected
documentation ^nn++++=documentation
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
beneficial ^jj++++=beneficial,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
facilitates ^vbz+++??+=facilitates
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
coherence ^nn++++=coherence
between ^in++++=between
pedagogical ^jj+atrb+++=pedagogical
concepts ^nns++++=concepts,
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
values ^nns++++=values,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
actions ^nns++++=actions
implemented ^vwbn+++xvbn+=implemented
to ^to++++=to
realize ^vbi+vprv+++=realize
them ^pp3o+pp3+++=them
( ^zz++++=(Raso,
raso ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Lampugnani ^np+++??+=Lampugnani,
, ^zz++++=EXTRAWORD
Marone ^np+++??+=Marone,
, ^zz++++=EXTRAWORD
Lichene ^np+++??+=Lichene,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
evaluation ^nn++++=evaluation
is ^vbz+bez+aux++=is
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
an ^at++++=an
essential ^jj+atrb+++=essential
instrument ^nn++++=instrument
for ^in++++=for
the ^ati++++=the
ongoing ^nn+++??+=ongoing
enhancement ^nn++++=enhancement
of ^in++++=of
the ^ati++++=the
educational ^jj+atrb+++=educational
provision ^nn++++=provision
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
effectively ^rb++++=effectively
supporting ^jj+atrb++xvbg+=supporting
children ^nns++++=children's
's ^$++++=EXTRAWORD
development ^nn++++=development.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
this ^dt+dem+++=this
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Proposal ^nn++++=Proposal
for ^in++++=for
Key ^jjb+atrb+++=Key
Principles ^nns++++=Principles
of ^in++++=of
a ^at++++=a
Quality ^nn++++=Quality
Framework ^nn++++=Framework
for ^in++++=for
Early ^jj+atrb+++=Early
Childhood ^nn++++=Childhood
Education ^nn++++=Education
and ^cc++++=and
Care ^nn++++=Care
( ^zz++++=(2012)
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
assigns ^vbz++++=assigns
to ^in++++=to
evaluation ^nn++++=evaluation
the ^ati++++=the
functions ^nns++++=functions
of ^in++++=of
recognizing ^xvbg+++xvbg+=recognizing,
, ^zz++++=EXTRAWORD
accompanying ^jj+++xvbg+=accompanying,
, ^zz++++=EXTRAWORD
describing ^vbg+++xvbg+=describing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
documenting ^nn+++??+=documenting
developmental ^nn+++??+=developmental
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
explicitly ^rb++++=explicitly
avoiding ^vbg+++xvbg+=avoiding
the ^ati++++=the
classification ^nn++++=classification
and ^cc++++=and
judgment ^nn++++=judgment
of ^in++++=of
individual ^jj+atrb+++=individual
performances ^nns++++=performances.
. ^zz++++=EXTRAWORD
