Several ^ap++++=Several
floristic ^nn+++??+=floristic
studies ^nns++++=studies
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
Caatinga ^np+++??+=Caatinga
areas ^nns++++=areas
in ^in++++=in
the ^ati++++=the
interior ^nn++++=interior
of ^in++++=of
Para ^nn++++=Para
ba ^nn+++??+=ba
( ^zz++++=(Santos
santos ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Lucena ^np+++??+=Lucena
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Gadelha ^np+++??+=Gadelha-Neto
- ^zz++++=EXTRAWORD
neto ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
species ^nn++++=species
composition ^nn++++=composition
observed ^vbd+++xvbn+=observed
in ^in++++=in
these ^dt+dem+++=these
studies ^nns++++=studies
is ^vbz+bez+vrb++=is
similar ^jj+pred+++=similar
to ^in++++=to
that ^dt+pdem+++=that
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
research ^nn++++=research.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
previous ^jj+atrb+++=previous
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
Fabaceae ^np+++??+=Fabaceae
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
species ^nn++++=species-rich
- ^zz++++=EXTRAWORD
rich ^jj+atrb+++=EXTRAWORD
family ^nn++++=family
at ^in++++=at
the ^ati++++=the
Aba ^np+++??+=ABA
Farm ^nn++++=Farm,
, ^zz++++=EXTRAWORD
confirming ^vbg+vpub++xvbg+=confirming
its ^pp$+it+++=its
status ^nn++++=status
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
abundant ^jj+atrb+++=abundant
plant ^nn++++=plant
families ^nns++++=families
in ^in++++=in
the ^ati++++=the
caatinga ^np++++=Caatinga.
. ^zz++++=EXTRAWORD
