To ^in++++=To
address ^nn++++=address
these ^dt+dem+++=these
research ^nn++++=research
questions ^nns++++=questions,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
combined ^vbd+++xvbn+=combined
survey ^vb++++=survey
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
from ^in++++=from
state ^nn++++=state
representatives ^nns++++=representatives
in ^in++++=in
twelve ^cd++++=twelve
Brazilian ^jj+atrb+++=Brazilian
states ^nns++++=states
with ^in++++=with
qualitative ^jj+atrb+++=qualitative
evidence ^nn++++=evidence
obtained ^vwbn+++xvbn+=obtained
through ^in++++=through
in ^in++++=in-depth
- ^zz++++=EXTRAWORD
depth ^nn++++=EXTRAWORD
interviews ^nns++++=interviews
with ^in++++=with
the ^ati++++=the
advisors ^nns++++=advisors
of ^in++++=of
these ^dt+dem+++=these
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
enabled ^vbd+++xvbn+=enabled
us ^pp1o+pp1+++=us
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
relationships ^nns++++=relationships
between ^in++++=between
state ^nn++++=state
legislators ^nns+++??+=legislators
and ^cc++++=and
local ^jj+atrb+++=local
brokers ^nns++++=brokers
across ^in+pl+++=across
a ^at++++=a
diverse ^jj+atrb+++=diverse
set ^nn+++xvbn+=set
of ^in++++=of
states ^np++++=states
and ^cc++++=and
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
micro ^nn+++??+=micro-foundations
- ^zz++++=EXTRAWORD
foundations ^nns++++=EXTRAWORD
and ^cc++++=and
mediation ^nn++++=mediation
dynamics ^nn++++=dynamics
that ^tht+rel+subj++=that
characterize ^vb++++=characterize
these ^dt+dem+++=these
alliances ^nns++++=alliances.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
conducting ^xvbg+++xvbg+=conducting
a ^at++++=a
systematic ^jj+atrb+++=systematic
hypothesis ^nn++++=hypothesis
test ^nn++++=test,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
adopts ^nns+++??+=adopts
an ^at++++=an
exploratory ^jj+atrb+++=exploratory
design ^nn++++=design
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
uncovering ^nn+++??+=uncovering
the ^ati++++=the
mechanisms ^nns++++=mechanisms
underlying ^vwbg+++xvbg+=underlying
interactions ^nns++++=interactions
between ^in++++=between
legislators ^nns+++??+=legislators
and ^cc++++=and
brokers ^nns++++=brokers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
contribution ^nn++++=contribution
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research
is ^vbz+bez+aux++=is
to ^to++++=to
propose ^vbi++++=propose
new ^jj+atrb+++=new
theoretical ^jj+atrb+++=theoretical
and ^cc+phrs+++=and
empirical ^jj+atrb+++=empirical
directions ^nns++++=directions
for ^in++++=for
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
study ^nn++++=study
distinguishes ^vbz++++=distinguishes
itself ^ppl++++=itself
from ^in++++=from
existing ^xvbg+++xvbg+=existing
literature ^nn++++=literature
by ^in++++=by
focusing ^nn+++??+=focusing
on ^in++++=on
state ^nn++++=state
representatives ^nns++++=representatives,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
federal ^jj+atrb+++=federal
legislators ^nns+++??+=legislators,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
highlighting ^jj+++??+=highlighting
both ^abx++++=both
the ^ati++++=the
similarities ^nns++++=similarities
and ^cc++++=and
differences ^nns++++=differences
between ^in++++=between
these ^dt+dem+++=these
two ^cd++++=two
levels ^nns++++=levels
of ^in++++=of
legislative ^jj+atrb+++=legislative
actors ^nns++++=actors.
. ^zz++++=EXTRAWORD
