It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
the ^ati++++=the
responsibility ^nn++++=responsibility
for ^in++++=for
adapting ^xvbg+++xvbg+=adapting
educational ^jj+atrb+++=educational
materials ^nns++++=materials
should ^md+nec+++=should
not ^xnot++not++=not
rest ^vb++++=rest
solely ^rb++++=solely
with ^in++++=with
in ^in++++=in-service
- ^zz++++=EXTRAWORD
service ^nn++++=EXTRAWORD
teachers ^nns++++=teachers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
often ^rb++++=often
overburdened ^jj+pred++??+=overburdened
and ^cc++++=and
lack ^nn++++=lack
the ^ati++++=the
necessary ^jj+atrb+++=necessary
working ^jj+atrb++xvbg+=working
conditions ^nns++++=conditions
and ^cc++++=and
time ^nn++++=time
to ^to++++=to
make ^vbi++++=make
such ^abl++++=such
adaptations ^nns++++=adaptations.
. ^zz++++=EXTRAWORD
In ^in++++=In
many ^ap++++=many
public ^jj+atrb+++=public
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
availability ^nn++++=availability
of ^in++++=of
tactile ^jj+atrb+++=tactile
resources ^nns++++=resources
for ^in++++=for
use ^nn++++=use
as ^ql++++=as
didactic ^vb+++??+=didactic
materials ^nns++++=materials
across ^in+pl+++=across
various ^jj+atrb+++=various
disciplines ^nns++++=disciplines
further ^jjb+atrb+++=further
exacerbates ^nns+++??+=exacerbates
this ^dt+dem+++=this
issue ^nn++++=issue
( ^zz++++=(Uliana,
uliana ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
shortage ^nn++++=shortage
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
motivations ^nns++++=motivations
for ^in++++=for
Uliana ^np+++??+=Uliana
s ^zz++++=s
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
research ^nn++++=research,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
development ^nn++++=development
and ^cc++++=and
testing ^nvbg+++xvbg+=testing
of ^in++++=of
a ^at++++=a
pedagogical ^jj+atrb+++=pedagogical
kit ^nn++++=kit
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
teach ^vbi+vsua+++=teach
mathematics ^nn++++=mathematics
to ^in++++=to
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Semi ^np+++??+=Semi-structured
- ^zz++++=EXTRAWORD
structured ^nn+++??+=EXTRAWORD
interviews ^nns++++=interviews
conducted ^vbd+++xvbn+=conducted
with ^in++++=with
both ^abx++++=both
teachers ^nns++++=teachers
and ^cc++++=and
students ^nns++++=students
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
adapted ^xvbn+++xvbn+=adapted
materials ^nns++++=materials
specifically ^rb++++=specifically
tailored ^jj+++xvbn+=tailored
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students
to ^to++++=to
be ^vbi++vrb++=be
available ^jj+pred+++=available
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
other ^ap++++=other
factors ^nns++++=factors
outlined ^vwbn+++xvbn+=outlined
in ^in++++=in
chart ^nn++++=Chart
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
