According ^in+cmpx+++=According
to ^in++++=to
Sim ^np+++??+=Sim
o ^zz++++=o
and ^cc++++=and
Scatena ^np+++??+=Scatena
( ^zz++++=(2004),
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
bracts ^nns+++??+=bracts
of ^in++++=of
the ^ati++++=the
specimens ^nns++++=specimens
collected ^vwbn+++xvbn+=collected
from ^in++++=from
N ^zz++++=N
cleo ^nn+++??+=cleo
Picinguaba ^np+++??+=Picinguaba
exhibit ^vb++++=exhibit
a ^at++++=a
red ^jj++++=red-orange
- ^zz++++=EXTRAWORD
orange ^np++++=EXTRAWORD
coloration ^nn+++??+=coloration
on ^in++++=on
both ^abx++++=both
the ^ati++++=the
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
distinguishes ^vbz++++=distinguishes
them ^pp3o+pp3+++=them
from ^in++++=from
the ^ati++++=the
material ^nn++++=material
analyzed ^nn+++??+=analyzed
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
both ^abx++++=both
originating ^nn+++??+=originating
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
region ^nn++++=region.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
observations ^nns++++=observations
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
species ^nns++++=species
displays ^nns++++=displays
both ^abx++++=both
bicolored ^nn++++=bicolored
and ^cc++++=and,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
frequently ^rb+cnj+++=frequently,
, ^zz++++=EXTRAWORD
tricolored ^nn++++=tricolored
bracts ^nns++++=bracts.
. ^zz++++=EXTRAWORD
