Pseudostem ^np+++??+=Pseudostem
1.2 ^cd++++=1.2
2 ^zz++++=2
m ^zz++++=m
tall ^jj++++=tall.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
with ^in++++=with
2 ^zz++++=2
3 ^zz++++=3
bladeless ^nns+++??+=bladeless
sheaths ^nns+++??+=sheaths;
; ^zz++++=EXTRAWORD
ligule ^nn+++??+=ligule
oblong ^jj++++=oblong,
, ^zz++++=EXTRAWORD
1.3 ^cd++++=1.3
2.5 ^cd++++=2.5
0.9 ^nn+++??+=0.9
1.5 ^cd++++=1.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
obtuse ^jj++++=obtuse
to ^in++++=to
shallowly ^nn+++??+=shallowly
bilobed ^nn+++??+=bilobed
or ^cc++++=or
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
green ^nn++++=green
with ^in++++=with
brownish ^jj+atrb+++=brownish
margin ^nn++++=margin;
; ^zz++++=EXTRAWORD
petiole ^nn+++??+=petiole
and ^cc++++=and
pulvinus ^nns+++??+=pulvinus
absent ^jj++++=absent;
; ^zz++++=EXTRAWORD
blade ^nn++++=blade
oblong ^jj++++=oblong,
, ^zz++++=EXTRAWORD
33 ^cd++++=33
47 ^cd++++=47
2.5 ^cd++++=2.5
4.5 ^cd++++=4.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acuminate ^nn+++??+=acuminate,
, ^zz++++=EXTRAWORD
base ^nn++++=base
cuneate ^nn+++??+=cuneate,
, ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
surface ^nn++++=surface
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
lower ^jjr+atrb+++=lower
surface ^nn++++=surface
pubescent ^nn+++??+=pubescent.
. ^zz++++=EXTRAWORD
Inflorescence ^np+++??+=Inflorescence
terminal ^jj++++=terminal,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
10 ^cd++++=10
21 ^cd++++=21
