However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
political ^jj+atrb+++=political
parties ^nns++++=parties
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
the ^ati++++=the
sole ^jjb++++=sole
or ^cc++++=or
even ^rb++++=even
the ^ati++++=the
primary ^jj+atrb+++=primary
factor ^nn++++=factor
structuring ^nn++++=structuring
alliances ^nns++++=alliances.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
analysis ^nn++++=analysis
shifts ^vbz++++=shifts
from ^in++++=from
assessing ^xvbg+++xvbg+=assessing
whether ^cs+who+++=whether
party ^nn++++=party
affiliations ^nns++++=affiliations
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant
to ^to++++=to
examining ^vbi++++=examining
the ^ati++++=the
conditions ^nns++++=conditions
under ^in++++=under
which ^whp+rel+pied++=which
their ^pp$+pp3+++=their
importance ^nn++++=importance
diminishes ^vbz++++=diminishes
relative ^jj++++=relative
to ^in++++=to
other ^ap++++=other
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
more ^rbr++++=more
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
quantify ^vb+++??+=quantify
but ^cc+cls+++=but
nonetheless ^rb+cnj+++=nonetheless
influential ^jj++++=influential
in ^in++++=in
partner ^nn++++=partner
selection ^nn++++=selection
and ^cc++++=and
alliance ^nn++++=alliance
formation ^nn++++=formation.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
in ^in++++=in-depth
- ^zz++++=EXTRAWORD
depth ^nn++++=EXTRAWORD
interviews ^nns++++=interviews,
, ^zz++++=EXTRAWORD
chiefs ^nns++++=chiefs
of ^in++++=of
staff ^nn++++=staff
consistently ^rb++++=consistently
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
political ^jj+atrb+++=political
parties ^nns++++=parties
play ^nn++++=play
little ^ap++++=little
or ^cc++++=or
no ^at++++=no
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
local ^jj+atrb+++=local
alliances ^nns++++=alliances.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
generally ^rb+down+++=generally
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
representatives ^nns++++=representatives
form ^nn++++=form
alliances ^nns++++=alliances
with ^in++++=with
leaders ^nns++++=leaders
from ^in++++=from
various ^jj+atrb+++=various
parties ^nns++++=parties
and ^cc++++=and
that ^tht+vcmp+++=that
party ^nn++++=party
affiliation ^nn++++=affiliation
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
most ^ql+emph+++=most
decisive ^jj+atrb+++=decisive
criterion ^nn++++=criterion.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+aux++=be
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
this ^dt+dem+++=this
perspective ^nn++++=perspective
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
specific ^jj+atrb+++=specific
profile ^nn++++=profile
of ^in++++=of
the ^ati++++=the
legislators ^nn++++=legislators
included ^vbd+++xvbn+=included
in ^in++++=in
our ^pp$+pp1+++=our
interviews ^nns++++=interviews
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
with ^in++++=with
electoral ^nn++++=electoral
support ^vb++++=support
concentrated ^vbd+++xvbn+=concentrated
in ^in++++=in
neighboring ^jj+atrb+++=neighboring
municipalities ^nns+++??+=municipalities
the ^ati++++=the
survey ^nn++++=survey
data ^nns++++=data
from ^in++++=from
a ^at++++=a
broader ^jjr+atrb+++=broader
sample ^nn++++=sample
of ^in++++=of
legislators ^nns+++??+=legislators
supports ^vbz++++=supports
this ^dt+dem+++=this
finding ^nvbg+++xvbg+=finding.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
minority ^nn++++=minority
of ^in++++=of
respondents ^nns++++=respondents
identified ^vwbn+++xvbn+=identified
party ^nn++++=party
relations ^nns++++=relations
as ^in++++=as
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
reason ^nn++++=reason
for ^in++++=for
securing ^xvbg+++xvbg+=securing
the ^ati++++=the
support ^nn++++=support
of ^in++++=of
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns+++??+=councilors,
, ^zz++++=EXTRAWORD
with ^in++++=with
14 ^cd++++=14%
% ^zz++++=EXTRAWORD
in ^in++++=in
2007 ^cd++++=2007
and ^cc++++=and
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
in ^in++++=in
2012 ^cd++++=2012
indicating ^vbg+vprv++xvbg+=indicating
this ^dt+dem+++=this
view ^nn++++=view.
. ^zz++++=EXTRAWORD
