Only ^rb+down+++=Only
three ^cd++++=three
studies ^nns++++=studies
( ^zz++++=(4%)
4 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
topical ^jj+atrb+++=topical
antiseptics ^nns++++=antiseptics,
, ^zz++++=EXTRAWORD
including ^in++++=including
Polyhexamethylene ^np+++??+=Polyhexamethylene
Biguanide ^np+++??+=Biguanide,
, ^zz++++=EXTRAWORD
Octenidine ^np+++??+=Octenidine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
unspecified ^jj+atrb+++=unspecified
degerming ^nn+++??+=degerming
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
pain ^nn++++=pain
associated ^vbd+++xvbn+=associated
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFW).
mfw ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
designs ^nns++++=designs
comprised ^vbd+++xvbn+=comprised
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
( ^zz++++=(66.6%)
66.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(33.4%).
33.4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
pain ^nn++++=pain
control ^nn++++=control
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
primary ^jj+atrb+++=primary
outcome ^nn++++=outcome;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
the ^ati++++=the
studies ^nns++++=studies
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
general ^jj+atrb+++=general
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
with ^in++++=with
pain ^nn++++=pain
included ^vbd+++xvbn+=included
as ^ql++++=as
a ^at++++=a
secondary ^jj+atrb+++=secondary
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
Collectively ^np+++??+=Collectively,
, ^zz++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
studies ^nns++++=studies
evaluated ^vwbn+++xvbn+=evaluated
54 ^cd++++=54
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
predominantly ^rb++++=predominantly
women ^nns++++=women
aged ^jj++++=aged
between ^in++++=between
24 ^cd++++=24
and ^cc++++=and
92 ^cd++++=92
years ^nns++++=years,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
whom ^whp+rel+pied++=whom
had ^vb+hv+vrb++=had
primary ^jj+atrb+++=primary
tumors ^nns+++??+=tumors,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
of ^in++++=of
the ^ati++++=the
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
Pain ^nn++++=Pain
assessment ^nn++++=assessment
methods ^nns++++=methods
included ^vbd+++xvbn+=included
verbal ^jj+atrb+++=verbal
classification ^nn++++=classification
and ^cc++++=and
visual ^jj+atrb+++=visual
analog ^nn+++??+=analog
scales ^nns++++=scales
in ^in++++=in
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
application ^nn++++=application
of ^in++++=of
topical ^jj+atrb+++=topical
antiseptics ^nns++++=antiseptics
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
pain ^nn++++=pain
improvement ^nn++++=improvement
in ^in++++=in
two ^cd++++=two
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
one ^cd1++++=one
study ^vb++++=study
reported ^vbd+vpub++xvbn+=reported
no ^at++++=no
change ^nn++++=change
in ^in++++=in
pain ^nn++++=pain
intensity ^nn++++=intensity
scores ^nns++++=scores
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
table ^nn++++=Table
9 ^zz++++=9).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
