As ^in++++=As
the ^ati++++=the
first ^od++++=first
volume ^nn++++=volume
in ^in++++=in
the ^ati++++=the
Way ^nn++++=Way
to ^in++++=to
English ^jj+atrb+++=English
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
textbook ^nn++++=textbook
addresses ^nns++++=addresses
fundamental ^jj+atrb+++=fundamental
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn++++=language
by ^in++++=by
presenting ^xvbg+++xvbg+=presenting
activities ^nns++++=activities
in ^in++++=in
both ^abx++++=both
English ^jj++++=English
and ^cc++++=and
Portuguese ^nn++++=Portuguese,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
language ^nn++++=language
of ^in++++=of
instruction ^nn++++=instruction
determined ^vwbn+++xvbn+=determined
by ^in++++=by
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
difficulty ^nn++++=difficulty
less ^rbr++++=less
complex ^jj+atrb+++=complex
activities ^nns++++=activities
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
more ^rbr++++=more
complex ^jj+atrb+++=complex
ones ^cd1s++++=ones
are ^vb+ber+vrb++=are
in ^in++++=in
Portuguese ^nn++++=Portuguese.
. ^zz++++=EXTRAWORD
The ^ati++++=The
book ^nn++++=book
begins ^vbz++++=begins
with ^in++++=with
a ^at++++=a
brief ^jj+atrb+++=brief
overview ^nn+++??+=overview
highlighting ^nn+++??+=highlighting
the ^ati++++=the
significance ^nn++++=significance
and ^cc++++=and
prevalence ^nn+++??+=prevalence
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn++++=language
in ^in++++=in
everyday ^jjb+atrb+++=everyday
life ^nn++++=life,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
an ^at++++=an
explanation ^nn++++=explanation
of ^in++++=of
the ^ati++++=the
objectives ^nns++++=objectives
of ^in++++=of
all ^rb++++=all
four ^cd++++=four
volumes ^nns++++=volumes
in ^in++++=in
the ^ati++++=the
series ^nn++++=series.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
a ^at++++=a
summary ^nn++++=summary
of ^in++++=of
the ^ati++++=the
eight ^cd++++=eight
units ^nns++++=units
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
textbook ^nn++++=textbook,
, ^zz++++=EXTRAWORD
outlining ^vbg+++xvbg+=outlining
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
sections ^nns++++=sections
and ^cc++++=and
content ^nn++++=content.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subsequent ^jj+atrb+++=subsequent
section ^nn++++=section,
, ^zz++++=EXTRAWORD
titled ^jj+atrb++xvbn+=titled
Tips ^nns++++=Tips
into ^in++++=into
Practice ^nn++++=Practice,
, ^zz++++=EXTRAWORD
offers ^vbz++++=offers
activities ^nns++++=activities
focused ^vbd+++xvbn+=focused
on ^in++++=on
reading ^xvbg+++xvbg+=reading
and ^cc++++=and
learning ^xvbg+++xvbg+=learning
strategies ^nns+++??+=strategies
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
students ^nns++++=students
confidence ^nn++++=confidence
in ^in++++=in
completing ^xvbg+++xvbg+=completing
exercises ^nns++++=exercises
throughout ^in++++=throughout
the ^ati++++=the
textbook ^nn++++=textbook.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
textbook ^nn++++=textbook
includes ^vb++++=includes
two ^cd++++=two
pages ^nns++++=pages
of ^in++++=of
classroom ^nn++++=classroom
sentences ^nns++++=sentences
in ^in++++=in
English ^nn++++=English
Intended ^vbn+vsua+++=intended
For ^in++++=for
Use ^nn++++=use
By ^in++++=by
Both ^abx++++=both
Students ^nns++++=students
And ^cc++++=and
Teachers ^nns++++=teachers.
 ^zz++++=EXTRAWORD
